ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20
reference_0,4.323513183961685,3.299777052302225,3.432403003171179,3.967175362770453,3.3585144748757485,3.595281300021163,3.0614087548626525,2.8648767147940353,3.463737671809551,3.0889640455013994,3.5315360966164095,3.5695277160000836,2.894064618811281,3.092962455344324,2.6436373548241106,3.691371247741453,4.142682029627589,3.61514149092682,2.7096166827307333,3.1661657320386927,3.2612740415651422
reference_1,4.2903340781591695,3.1687267371039867,3.557639069111565,4.0741929583375684,3.0517215282221866,3.5893492881931324,3.355907416512015,3.2943747666104115,3.3897002807397794,3.528335453523134,3.502361750547705,3.482406370099715,3.2618642328366394,3.2398070953453924,3.277920952030481,3.463859561037574,4.144447454327547,3.5277017447327617,3.219100741585924,3.328644648069066,3.5031131839923773
reference_2,4.240606828189563,3.304693646025898,3.443414193094616,4.165474473075867,3.344224552825869,3.7261141146815056,3.2511524199364192,2.8631514720078797,3.5485099654718004,3.4673351139017803,3.6333272668415306,3.642501068768263,3.262946373149991,3.317140722892731,3.290413431708326,3.8172132212194216,4.022068830379664,3.60469316469731,3.130520354879475,3.3254847809550636,3.4667532456809282
reference_3,4.450855224828103,3.878254230125811,3.824544412455852,3.912972861049175,3.752873892728538,3.710154347858752,2.8565644780960087,3.890851405596147,3.4365340929312285,3.8283346081260534,3.7397291331872347,3.781144262388468,3.9069744907946973,3.473901948717177,3.8110146243454954,3.7887129079005546,4.2773126523403535,3.591928992759899,3.6077701598314293,3.6218656491451333,3.8586731165549755
reference_4,4.221564824001963,3.0333491123513743,3.3987862646869895,4.062009151023456,3.213300213363448,3.364143199970551,3.1371118213072076,2.996501665286829,3.352858731063378,3.2637369815059087,3.4685052605556685,3.580547391087731,3.675652791091305,3.1516220593607667,3.4624611173875715,3.6673472227344335,4.149153287590024,3.55371905621232,3.0573693823366037,3.6404740447738537,3.729055196414571
reference_5,4.096274260743132,3.1274438651429426,3.6827304391493,4.196818953067054,3.5671767871149647,3.3311620200371665,3.571044499914077,3.696979271543224,3.4886418783140356,3.202113407102917,3.5790221832779907,3.649047142417433,3.6263773850049823,3.3896134123113173,3.486483000846457,3.403656955390651,3.988577021867261,3.441928202745169,3.448741723568132,3.5890002831806735,3.518634205451097
reference_6,3.9452614653389815,3.282448619181128,3.4461328291722717,4.013328012859996,3.343237456661184,3.077903797702244,3.3101135123654157,3.5009546668150238,3.1831463398557776,2.9334949446433694,3.306945807721851,3.3902858882717646,3.4961643269706286,3.10365475481985,3.3513662742896178,3.22468940158982,3.797481394151593,3.1666647644052284,3.0945874178512236,3.4863192783601815,3.388486878128597
reference_7,4.381925284757282,3.573075402974894,3.8671882791946874,4.059799746277713,3.743875031489219,3.7225490632784526,3.489986996438027,3.8504189297339675,3.6095968528288873,3.8256606722615314,3.7525465085475567,3.7688407032716746,3.800022776937608,3.3709571333755495,3.8140813809571807,3.7585206574841408,4.246529505684392,3.673557898282012,3.3977551083149913,3.7405030272165285,3.8065562181008215
reference_8,3.1221310356712606,3.0289856788708405,2.9732541774286734,4.222212243758088,2.84295554574693,3.331781779325909,3.5537669048833744,3.7954427259443473,3.1944615033855412,2.626893571872716,3.27730027136625,3.2943205532327937,3.0502411857523843,3.3571754506025084,3.5074020649021254,3.4378201766968277,3.1351087268827973,2.5663890059982597,2.599102989240073,3.6702937949164522,3.2843965077934567
reference_9,4.37044692700163,3.730338146276585,3.7752121230951943,3.9938348965024693,3.686658374853762,3.5159599260545478,3.4599351446364652,3.755647720897605,3.4619752672436443,3.510687108897508,3.566990625583803,3.6795387824145207,3.7503145928516277,3.191784288920064,3.5318933845780394,3.545415074783726,4.175230308711362,3.352900638792525,3.45706448005152,3.5300300951782955,3.5754555940227997
reference_10,4.199138003526028,3.1779772652862457,3.621511999112883,4.165378483127929,3.403262838899491,3.467280133772815,3.5037581217582794,3.737074775905856,3.4484274219853805,3.459871670365624,3.4932325495271193,3.609236324076399,3.556129515748626,3.2880596912835975,2.9302147501283025,3.5654174636185587,4.026199344317415,3.4408802948931005,3.2689475175561147,3.6771485448564944,3.2780869994419986
reference_11,4.202809047447904,3.6600893411893582,3.6718548003307236,3.875948919079304,3.5866103954626367,3.484060456585277,3.434671156414032,3.716693947680077,3.3495279545058616,3.586294156608184,3.440601828106284,3.5538204495551584,3.744025713536919,3.1997283331502677,3.583627842219516,3.564921190207348,4.022512023170797,3.411578624640015,3.11819813101697,3.511622716430674,3.5139193641935886
reference_12,4.348086124424664,3.797474319995722,3.7129047189121147,4.048929520839266,3.7225988120798696,3.6091177562720786,3.3894224099806567,3.701305943050276,3.4265342803785135,3.235044564171429,3.6358595241437746,3.67663495680388,3.753887362028374,3.439462224291789,3.2926711790521646,3.7192305144403868,4.1373764219035865,3.6275706895816473,3.427516075507227,3.5858744130404467,3.490509890757713
reference_13,4.277890136240625,3.401658905054242,3.400159942235467,4.128517741663057,2.7649424222849817,3.6305406650267718,3.1595987786603246,3.3409381246448118,3.42187908872438,3.4188690519326674,3.5734754364237267,3.5408920587660058,3.4862848151524917,3.1873646239534374,3.292430041115218,3.5982852339934945,4.0538481873957695,3.532316291860484,2.8129364596088524,3.67384660024608,3.7100266929853825
reference_14,3.605199668032594,3.348030116144954,2.85420347579709,4.2024574199292815,3.3673490933223778,3.5895103518069815,3.465298874783097,3.769504959861677,3.0902868912931143,2.8515828740879186,3.7224444246847814,3.709670079803665,3.510480574659291,3.343182743521656,3.7459174852084165,3.730770507929331,3.366184171843631,2.9156981476328174,2.476832865068013,3.7032388671215655,3.445950220295689
reference_15,4.167508486794272,3.274478172079136,3.156319310252907,3.98628150623703,3.107693661295754,3.396169984859641,2.5788607983615517,2.8290598192884215,3.1082629716174726,3.240503734621549,3.4473433173127175,3.4363297353196143,3.6350658478160844,2.8617194893430473,3.291829073769426,3.5270868803699895,4.010953571078485,3.3842374814728933,2.6705257299249174,3.489386783163453,3.422885500528216
reference_16,4.365495190379878,3.6796963714014463,3.617518101531977,4.330423133296634,3.599817209439912,3.9536203210809786,3.3649755701259982,3.288689987456031,3.6045942197201697,3.6470294310310565,3.8413595726100396,3.805251701411135,3.90830481946377,3.4999751981375935,3.684679975086806,3.9698050818892012,4.254780390440607,3.839568330899581,3.4057077945492296,3.8036374279770135,4.019786010542099
reference_17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_18,4.257707756353092,3.7197558897934306,3.711231737450417,3.9690043146078726,3.611987867493413,3.367086744580543,3.4547804348128226,3.5922828773963515,3.4485452717020815,3.600611484632646,3.555603464441434,3.61817802322161,3.709878217482569,3.297414025778263,3.6006766651297464,3.3707293853843434,4.17813080030676,3.5399561413872864,3.337602835393818,3.711439310480225,3.71220442901897
