paper_title,Named Entity Recognition: A Maximum Entropy Approach Using Global Information
abstract,This paper presents a maximum entropy-based named entity recognizer (NER).
abstract,"It differs from previous machine learning-based NERs in that it uses information from the whole document to classify each word, with just one classifier."
abstract,"Previous work that involves the gathering of information from the whole document often uses a secondary classifier, which corrects the mistakes of a primary sentence- based classifier."
abstract,"In this paper, we show that the maximum entropy framework is able to make use of global information directly, and achieves performance that is comparable to the best previous machine learning-based NERs on MUC6 and MUC7 test data."
Introduction,"Considerable amount of work has been done in recent years on the named entity recognition task, partly due to the Message Understanding Conferences (MUC)."
Introduction,"A named entity recognizer (NER) is useful in many NLP applications such as information extraction, question answering, etc. On its own, a NER can also provide users who are looking for person or organization names with quick information."
Introduction,"In MUC6 and MUC7, the named entity task is defined as finding the following classes of names: person, organization, location, date, time, money, and percent (Chinchor, 1998; Sundheim, 1995) Machine learning systems in MUC6 and MUC 7 achieved accuracy comparable to rule-based systems on the named entity task."
Introduction,"Statistical NERs usually find the sequence of tags that maximizes the probability , where is the sequence of words in a sentence, and is the sequence of named-entity tags assigned to the words in . Attempts have been made to use global information (e.g., the same named entity occurring in different sentences of the same document), but they usually consist of incorporating an additional classifier, which tries to correct the errors in the output of a first NER (Mikheev et al., 1998; Borthwick, 1999)."
Introduction,"We propose maximizing , where is the sequence of named- entity tags assigned to the words in the sentence , and is the information that can be extracted from the whole document containing . Our system is built on a maximum entropy classifier."
Introduction,"By making use of global context, it has achieved excellent results on both MUC6 and MUC7 official test data."
Introduction,We will refer to our system as MENERGI (Maximum Entropy Named Entity Recognizer using Global Information).
Introduction,"As far as we know, no other NERs have used information from the whole document (global) as well as information within the same sentence (local) in one framework."
Introduction,"The use of global features has improved the performance on MUC6 test data from 90.75% to 93.27% (27% reduction in errors), and the performance on MUC7 test data from 85.22% to 87.24% (14% reduction in errors)."
Introduction,"These results are achieved by training on the official MUC6 and MUC7 training data, which is much less training data than is used by other machine learning systems that worked on the MUC6 or MUC7 named entity task (Bikel et al., 1997; Bikel et al., 1999; Borth- wick, 1999)."
Introduction,"We believe it is natural for authors to use abbreviations in subsequent mentions of a named entity (i.e., first “President George Bush” then “Bush”)."
Introduction,"As such, global information from the whole context of a document is important to more accurately recognize named entities."
Introduction,"Although we have not done any experiments on other languages, this way of using global features from a whole document should be applicable to other languages."
Related Work.,"Recently, statistical NERs have achieved results that are comparable to hand-coded systems."
Related Work.,"Since MUC6, BBN' s Hidden Markov Model (HMM) based IdentiFinder (Bikel et al., 1997) has achieved remarkably good performance."
Related Work.,"MUC7 has also seen hybrids of statistical NERs and hand-coded systems (Mikheev et al., 1998; Borthwick, 1999), notably Mikheev' s system, which achieved the best performance of 93.39% on the official NE test data."
Related Work.,"MENE (Maximum Entropy Named Entity) (Borth- wick, 1999) was combined with Proteus (a hand- coded system), and came in fourth among all MUC 7 participants."
Related Work.,"MENE without Proteus, however, did not do very well and only achieved an F measure of 84.22% (Borthwick, 1999)."
Related Work.,"Among machine learning-based NERs, Identi- Finder has proven to be the best on the official MUC6 and MUC7 test data."
Related Work.,MENE (without the help of hand-coded systems) has been shown to be somewhat inferior in performance.
Related Work.,"By using the output of a hand-coded system such as Proteus, MENE can improve its performance, and can even outperform IdentiFinder (Borthwick, 1999)."
Related Work.,Mikheev et al.
Related Work.,(1998) did make use of information from the whole document.
Related Work.,"However, their system is a hybrid of hand-coded rules and machine learning methods."
Related Work.,"Another attempt at using global information can be found in (Borthwick, 1999)."
Related Work.,He used an additional maximum entropy classifier that tries to correct mistakes by using reference resolution.
Related Work.,Reference resolution involves finding words that co-refer to the same entity.
Related Work.,"In order to train this error-correction model, he divided his training corpus into 5 portions of 20% each."
Related Work.,"MENE is then trained on 80% of the training corpus, and tested on the remaining 20%."
Related Work.,This process is repeated 5 times by rotating the data appropriately.
Related Work.,"Finally, the concatenated 5 * 20% output is used to train the reference resolution component."
Related Work.,"We will show that by giving the first model some global features, MENERGI outperforms Borthwick' s reference resolution classifier."
Related Work.,"On MUC6 data, MENERGI also achieves performance comparable to IdentiFinder when trained on similar amount of training data."
Related Work.,both MENE and IdentiFinder used more training data than we did (we used only the official MUC 6 and MUC7 training data).
Related Work.,"On the MUC6 data, Bikel et al."
Related Work.,(1997; 1999) do have some statistics that show how IdentiFinder performs when the training data is reduced.
Related Work.,Our results show that MENERGI performs as well as IdentiFinder when trained on comparable amount of training data.
System Description.,"The system described in this paper is similar to the MENE system of (Borthwick, 1999)."
System Description.,It uses a maximum entropy framework and classifies each word given its features.
System Description.,"Each name class is subdivided into 4 sub-classes, i.e., N begin, N continue, N end, and N unique."
System Description.,"Hence, there is a total of 29 classes (7 name classes 4 sub-classes 1 not-a-name class)."
System Description.,3.1 Maximum Entropy.
System Description.,"The maximum entropy framework estimates probabilities based on the principle of making as few assumptions as possible, other than the constraints imposed."
System Description.,"Such constraints are derived from training data, expressing some relationship between features and outcome."
System Description.,The probability distribution that satisfies the above property is the one with the highest entropy.
System Description.,"It is unique, agrees with the maximum-likelihood distribution, and has the exponential form (Della Pietra et al., 1997): where refers to the outcome, the history (or context), and is a normalization function."
System Description.,"In addition, each feature function is a binary function."
System Description.,"For example, in predicting if a word belongs to a word class, is either true or false, and refers to the surrounding context: if = true, previous word = the otherwise The parameters are estimated by a procedure called Generalized Iterative Scaling (GIS) (Darroch and Ratcliff, 1972)."
System Description.,This is an iterative method that improves the estimation of the parameters at each iteration.
System Description.,We have used the Java-based opennlp maximum entropy package1.
System Description.,"In Section 5, we try to compare results of MENE, IdentiFinder, and MENERGI."
System Description.,"However, 1 http://maxent.sourceforge.net 3.2 Testing."
System Description.,"During testing, it is possible that the classifier produces a sequence of inadmissible classes (e.g., person begin followed by location unique)."
System Description.,"To eliminate such sequences, we define a transition probability between word classes to be equal to 1 if the sequence is admissible, and 0 otherwise."
System Description.,The probability of the classes assigned to the words in a sentence in a document is defined as follows: where is determined by the maximum entropy classifier.
System Description.,A dynamic programming algorithm is then used to select the sequence of word classes with the highest probability.
Feature Description.,The features we used can be divided into 2 classes: local and global.
Feature Description.,"Local features are features that are based on neighboring tokens, as well as the token itself."
Feature Description.,Global features are extracted from other occurrences of the same token in the whole document.
Feature Description.,"The local features used are similar to those used in BBN' s IdentiFinder (Bikel et al., 1999) or MENE (Borthwick, 1999)."
Feature Description.,"However, to classify a token , while Borthwick uses tokens from to (from two tokens before to two tokens after ), we used only the tokens , , and . Even with local features alone, MENERGI outperforms MENE (Borthwick, 1999)."
Feature Description.,This might be because our features are more comprehensive than those used by Borthwick.
Feature Description.,"In IdentiFinder, there is a priority in the feature assignment, such that if one feature is used for a token, another feature lower in priority will not be used."
Feature Description.,"In the maximum entropy framework, there is no such constraint."
Feature Description.,Multiple features can be used for the same token.
Feature Description.,Feature selection is implemented using a feature cutoff: features seen less than a small count during training will not be used.
Feature Description.,We group the features used into feature groups.
Feature Description.,Each feature group can be made up of many binary features.
Feature Description.,"For each token , zero, one, or more of the features in each feature group are set to 1."
Feature Description.,4.1 Local Features.
Feature Description.,The local feature groups are: Non-Contextual Feature: This feature is set to 1 for all tokens.
Feature Description.,This feature imposes constraints Table 1: Features based on the token string that are based on the probability of each name class during training.
Feature Description.,"Zone: MUC data contains SGML tags, and a document is divided into zones (e.g., headlines and text zones)."
Feature Description.,The zone to which a token belongs is used as a feature.
Feature Description.,"For example, in MUC6, there are four zones (TXT, HL, DATELINE, DD)."
Feature Description.,"Hence, for each token, one of the four features zone-TXT, zone- HL, zone-DATELINE, or zone-DD is set to 1, and the other 3 are set to 0."
Feature Description.,"Case and Zone: If the token starts with a capital letter (initCaps), then an additional feature (init- Caps, zone) is set to 1."
Feature Description.,"If it is made up of all capital letters, then (allCaps, zone) is set to 1."
Feature Description.,"If it starts with a lower case letter, and contains both upper and lower case letters, then (mixedCaps, zone) is set to 1."
Feature Description.,A token that is allCaps will also be initCaps.
Feature Description.,This group consists of (3 total number of possible zones) features.
Feature Description.,"Case and Zone of and : Similarly, if (or ) is initCaps, a feature (initCaps, zone) (or (initCaps, zone) ) is set to 1, etc. Token Information: This group consists of 10 features based on the string , as listed in Table 1."
Feature Description.,"For example, if a token starts with a capital letter and ends with a period (such as Mr.), then the feature InitCapPeriod is set to 1, etc. First Word: This feature group contains only one feature firstword."
Feature Description.,"If the token is the first word of a sentence, then this feature is set to 1."
Feature Description.,"Otherwise, it is set to 0."
Feature Description.,Lexicon Feature: The string of the token is used as a feature.
Feature Description.,This group contains a large number of features (one for each token string present in the training data).
Feature Description.,At most one feature in this group will be set to 1.
Feature Description.,"If is seen infrequently during training (less than a small count), then will not be selected as a feature and all features in this group are set to 0."
Feature Description.,"Lexicon Feature of Previous and Next Token: The string of the previous token and the next token is used with the initCaps information of . If has initCaps, then a feature (initCaps, ) is set to 1."
Feature Description.,"If is not initCaps, then (not-initCaps, ) is set to 1."
Feature Description.,"Same for . In the case where the next token is a hyphen, then is also used as a feature: (init- Caps, ) is set to 1."
Feature Description.,"This is because in many cases, the use of hyphens can be considered to be optional (e.g., third-quarter or third quarter)."
Feature Description.,"Out-of-Vocabulary: We derived a lexicon list from WordNet 1.6, and words that are not found in this list have a feature out-of-vocabulary set to 1."
Feature Description.,"Dictionaries: Due to the limited amount of training material, name dictionaries have been found to be useful in the named entity task."
Feature Description.,"The importance of dictionaries in NERs has been investigated in the literature (Mikheev et al., 1999)."
Feature Description.,The sources of our dictionaries are listed in Table 2.
Feature Description.,"For all lists except locations, the lists are processed into a list of tokens (unigrams)."
Feature Description.,"Location list is processed into a list of unigrams and bigrams (e.g., New York)."
Feature Description.,"For locations, tokens are matched against unigrams, and sequences of two consecutive tokens are matched against bigrams."
Feature Description.,A list of words occurring more than 10 times in the training data is also collected (commonWords).
Feature Description.,Only tokens with initCaps not found in commonWords are tested against each list in Table 2.
Feature Description.,"If they are found in a list, then a feature for that list will be set to 1."
Feature Description.,"For example, if Barry is not in commonWords and is found in the list of person first names, then the feature PersonFirstName will be set to 1."
Feature Description.,"Similarly, the tokens and are tested against each list, and if found, a corresponding feature will be set to 1."
Feature Description.,"For example, if is found in the list of person first names, the feature PersonFirstName is set to 1."
Feature Description.,"Month Names, Days of the Week, and Numbers: If is initCaps and is one of January, February, . . ."
Feature Description.,", December, then the feature MonthName is set to 1."
Feature Description.,"If is one of Monday, Tuesday, . . ."
Feature Description.,", Sun day, then the feature DayOfTheWeek is set to 1."
Feature Description.,"If is a number string (such as one, two, etc), then the feature NumberString is set to 1."
Feature Description.,Suffixes and Prefixes: This group contains only two features: Corporate-Suffix and Person-Prefix.
Feature Description.,"Two lists, Corporate-Suffix-List (for corporate suffixes) and Person-Prefix-List (for person prefixes), are collected from the training data."
Feature Description.,"For corporate suffixes, a list of tokens cslist that occur frequently as the last token of an organization name is collected from the training data."
Feature Description.,"Frequency is calculated by counting the number of distinct previous tokens that each token has (e.g., if Electric Corp. is seen 3 times, and Manufacturing Corp. is seen 5 times during training, and Corp. is not seen with any other preceding tokens, then the “frequency” of Corp. is 2)."
Feature Description.,"The most frequently occurring last words of organization names in cslist are compiled into a list of corporate suffixes, Corporate-Suffix- List."
Feature Description.,A Person-Prefix-List is compiled in an analogous way.
Feature Description.,"For MUC6, for example, Corporate- Suffix-List is made up of ltd., associates, inc., co, corp, ltd, inc, committee, institute, commission, university, plc, airlines, co., corp. and Person-Prefix- List is made up of succeeding, mr., rep., mrs., secretary, sen., says, minister, dr., chairman, ms. . For a token that is in a consecutive sequence of init then a feature Corporate-Suffix is set to 1."
Feature Description.,"If any of the tokens from to is in Person-Prefix- List, then another feature Person-Prefix is set to 1."
Feature Description.,"Note that we check for , the word preceding the consecutive sequence of initCaps tokens, since person prefixes like Mr., Dr., etc are not part of person names, whereas corporate suffixes like Corp., Inc., etc are part of corporate names."
Feature Description.,4.2 Global Features.
Feature Description.,Context from the whole document can be important in classifying a named entity.
Feature Description.,A name already mentioned previously in a document may appear in abbreviated form when it is mentioned again later.
Feature Description.,"Previous work deals with this problem by correcting inconsistencies between the named entity classes assigned to different occurrences of the same entity (Borthwick, 1999; Mikheev et al., 1998)."
Feature Description.,"We often encounter sentences that are highly ambiguous in themselves, without some prior knowledge of the entities concerned."
Feature Description.,For example: McCann initiated a new global system.
Feature Description.,(1) CEO of McCann . . .
Feature Description.,(2) Description Source Location Names http://www.timeanddate.com http://www.cityguide.travel-guides.com http://www.worldtravelguide.net Corporate Names http://www.fmlx.com Person First Names http://www.census.gov/genealogy/names Person Last Names Table 2: Sources of Dictionaries The McCann family . . .
Feature Description.,"(3)In sentence (1), McCann can be a person or an orga nization."
Feature Description.,Sentence (2) and (3) help to disambiguate one way or the other.
Feature Description.,"If all three sentences are in the same document, then even a human will find it difficult to classify McCann in (1) into either person or organization, unless there is some other information provided."
Feature Description.,"The global feature groups are: InitCaps of Other Occurrences (ICOC): There are 2 features in this group, checking for whether the first occurrence of the same word in an unambiguous position (non first-words in the TXT or TEXT zones) in the same document is initCaps or not-initCaps."
Feature Description.,"For a word whose initCaps might be due to its position rather than its meaning (in headlines, first word of a sentence, etc), the case information of other occurrences might be more accurate than its own."
Feature Description.,"For example, in the sentence that starts with “Bush put a freeze on . . ."
Feature Description.,"”, because Bush is the first word, the initial caps might be due to its position (as in “They put a freeze on . . ."
Feature Description.,”).
Feature Description.,"If somewhere else in the document we see “restrictions put in place by President Bush”, then we can be surer that Bush is a name."
Feature Description.,"Corporate Suffixes and Person Prefixes of Other Occurrences (CSPP): If McCann has been seen as Mr. McCann somewhere else in the document, then one would like to give person a higher probability than organization."
Feature Description.,"On the other hand, if it is seen as McCann Pte."
Feature Description.,"Ltd., then organization will be more probable."
Feature Description.,"With the same Corporate- Suffix-List and Person-Prefix-List used in local features, for a token seen elsewhere in the same document with one of these suffixes (or prefixes), another feature Other-CS (or Other-PP) is set to 1."
Feature Description.,"Acronyms (ACRO): Words made up of all capitalized letters in the text zone will be stored as acronyms (e.g., IBM)."
Feature Description.,The system will then look for sequences of initial capitalized words that match the acronyms found in the whole document.
Feature Description.,"Such sequences are given additional features of A begin, A continue, or A end, and the acronym is given a feature A unique."
Feature Description.,"For example, if FCC and Federal Communications Commission are both found in a document, then Federal has A begin set to 1, Communications has A continue set to 1, Commission has A end set to 1, and FCC has A unique set to 1."
Feature Description.,"Sequence of Initial Caps (SOIC): In the sentence Even News Broadcasting Corp., noted for its accurate reporting, made the erroneous announcement., a NER may mistake Even News Broadcasting Corp. as an organization name."
