ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21
reference_0,3.5129855271790698,3.332591194798354,3.208833215761882,3.2477666832738112,3.510636211170539,3.500163951604325,3.2688863719475294,2.9155302065427016,3.3060445106056577,3.357561923484334,3.612883610623731,3.2760279694514525,3.445510121239506,3.4458952670781042,3.4049020336864695,3.2329391232565445,3.288987540399554,3.1935190732016605,3.28159958304182,4.234433446067271,3.302935137316361,3.1356165038856503
reference_1,3.6998171432037577,3.410639386416119,3.417433712557421,2.8965235923237804,3.215415248942948,3.3402147675118297,2.9858081998918533,2.989118135485429,2.6344400379503425,2.8974378993576484,3.5459879575080637,2.776163196069582,3.122170048726258,3.326699821219254,3.294839502733638,3.062982387421617,2.8312164538074067,2.953840434034796,2.578456291520795,4.191930079375339,2.666780388099339,3.0200926054074
reference_2,3.770552692779294,3.5968023737672654,3.594267300538139,3.0274775762322075,3.3738141138479967,3.2361998560780907,3.1567251084684287,3.311550303875598,3.111391962576519,3.0339506918680517,3.6342684063239292,2.782630486268774,3.1123362893681117,3.486135434795942,3.3820612958204013,3.2039986620017977,2.8094298572433773,3.1005274870275072,2.804802296567128,4.256350929590582,2.86435163218132,3.1462578070404845
reference_3,3.1905778119145736,3.1659285445690037,3.061374706327593,3.166484164515802,3.107086958764999,3.3627433158574935,3.1355960274015606,3.0634077626352387,2.788553997792606,3.078348163123951,3.59293087985997,2.9628561675582126,3.4194740838075535,2.9950547162018273,3.3302737350975917,3.161720810986193,3.0751034918387186,3.098313916996169,2.7206615676468835,3.931202633978526,2.9138395469746987,3.0900115077036143
reference_4,3.728052888850705,3.371725720749104,3.5579242699519296,3.2478984095200354,3.386979184699335,3.4302340520172856,3.2129945959062938,2.8786390447009067,3.2446712425132933,3.2071669681914856,3.608370874877637,3.241894619686436,3.3147631555415056,3.462590895734625,3.3348301345952205,3.1903416183794784,3.220844183641057,3.143078121349774,3.24847192808001,4.277536107798755,3.262137693671135,3.0900290849169187
reference_5,3.660426354335556,3.1721901652975046,3.5217175492167634,3.0262629881729883,3.0334938554370003,3.4276937181634946,3.0862565077216986,2.8316337419834277,2.97689024942026,3.046255479597443,3.498715888416754,2.8586409237801655,3.3697783861766206,3.1467873976199185,3.10194493919892,3.151633857972839,2.941304459504516,3.070513467034361,2.86602867992983,4.206899932737286,2.977349726022357,3.0997478420387203
reference_6,3.696699111702869,3.317074773352599,3.4100725321109517,3.3440979974096914,3.465954368464781,3.4773550164619897,3.2349121592717993,2.538955911082877,2.9575073329640538,3.1417397517787107,3.6099217545491062,3.270577033228602,3.49767826045296,3.4717522840120285,3.319879009774788,3.0234359701212146,3.3331101733729636,3.1779750910679674,3.2970998972435366,4.228827487709122,3.150154128968476,3.1170499181046685
reference_7,3.5631418824605934,3.177177716682247,3.549869649122016,3.3042487503165474,3.411860669014415,3.60375567505494,3.3614320853375808,3.0863807581012104,3.177849164247207,3.221895806593845,3.797122040331361,2.8887062178673157,3.471790986097164,3.382602053430119,3.302842370910172,3.4239627629388654,3.3515142849126516,3.270565840877884,3.1098257606132327,4.1858559116649,2.9527844798593135,3.3227880887525854
reference_8,3.372162316567361,3.3493043279815,3.199969848867838,3.0999591531514707,3.4750513590863883,3.5392832618340453,3.3229475464119256,3.1412115657769197,2.932753458697978,3.091398303230476,3.6158747802409383,2.972016128268573,3.4281150807662084,3.5723956893710445,3.3387891706184205,3.422485068999686,3.242750939326654,3.3178962920429247,2.9845302157100555,4.072391049265242,2.8960883130506714,3.3339626733439243
reference_9,3.6924675222418184,3.5535605623871067,3.566118414838818,3.307545274826789,3.2944690514499215,3.3054793597034626,3.1272712226500516,3.3064195331186057,3.2907295134683903,3.3077324791972447,3.58769763286829,3.1319508207368134,3.496518590148478,2.879401582654643,3.2657707232679565,3.1428436332506355,3.2090261877918467,3.1103471091503954,2.854521666502673,4.232895103001833,3.1204931949457184,3.023381644403958
