paper_title,Mining New Word Translations from Comparable Corpora
abstract,"New words such as names, technical terms, etc appear frequently."
abstract,"As such, the bilingual lexicon of a machine translation system has to be constantly updated with these new word translations."
abstract,Comparable corpora such as news documents of the same period from different news agencies are readily available.
abstract,"In this paper, we present a new approach to mining new word translations from comparable corpora, by using context information to complement transliteration information."
abstract,"We evaluated our approach on six months of Chinese and English Gigaword corpora, with encouraging results."
Introduction,"New words such as person names, organization names, technical terms, etc. appear frequently."
Introduction,"In order for a machine translation system to translate these new words correctly, its bilingual lexicon needs to be constantly updated with new word translations."
Introduction,"Much research has been done on using parallel corpora to learn bilingual lexicons (Melamed, 1997; Moore, 2003)."
Introduction,"But parallel corpora are scarce resources, especially for uncommon lan guage pairs."
Introduction,Comparable corpora refer to texts that are not direct translation but are about the same topic.
Introduction,"For example, various news agencies report major world events in different languages, and such news documents form a readily available source of comparable corpora."
Introduction,"Being more readily available, comparable corpora are thus more suitable than parallel corpora for the task of acquiring new word translations, although relatively less research has been done in the past on comparable corpora."
Introduction,"Previous research efforts on acquiring translations from comparable corpora include (Fung and Yee, 1998; Rapp, 1995; Rapp, 1999)."
Introduction,"When translating a word w, two sources of information can be used to determine its translation: the word w itself and the surrounding words in the neighborhood (i.e., the context) of w. Most previous research only considers one of the two sources of information, but not both."
Introduction,"For example, the work of (AlOnaizan and Knight, 2002a; AlOnaizan and Knight, 2002b; Knight and Graehl, 1998) used the pronunciation of w in translation."
Introduction,"On the other hand, the work of (Cao and Li, 2002; Fung and Yee, 1998; Koehn and Knight, 2002; Rapp, 1995; Rapp, 1999) used the context of w to locate its translation in a second language."
Introduction,"In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information."
Introduction,"Since both sources of information are complementary, the accuracy of our combined approach is better than the accuracy of using just context or transliteration information alone."
Introduction,We fully implemented our method and tested it on ChineseEnglish comparable corpora.
Introduction,We translated Chinese words into English.
Introduction,"That is, Chinese is the source language and English is the target language."
Introduction,We achieved encouraging results.
Introduction,"While we have only tested our method on Chinese-English comparable corpora, our method is general and applicable to other language pairs."
Our approach.,"The work of (Fung and Yee, 1998; Rapp, 1995; Rapp, 1999) noted that if an English word e is the translation of a Chinese word c , then the contexts of the two words are similar."
Our approach.,We could view this as a document retrieval problem.
Our approach.,"The context (i.e., the surrounding words) of c is viewed as a query."
Our approach.,The context of each candidate translation e' is viewed as a document.
Our approach.,"Since the context of the correct translation e is similar to e , is considered as a document in IR."
Our approach.,"If an English word e is the translation of a Chinese word c , they will have similar contexts."
Our approach.,"So we use the the context of c , we are likely to retrieve the context of e when we use the context of c as query C(c) to retrieve a document C (e* ) that * the query and try to retrieve the most similar best matches the query."
Our approach.,The English word e document.
Our approach.,"We employ the language modeling approach (Ng, 2000; Ponte and Croft, 1998) for corresponding to that document translation of c . C (e* ) is the this retrieval problem."
Our approach.,More details are given in Section 3.
Our approach.,"On the other hand, when we only look at the word w itself, we can rely on the pronunciation of w to locate its translation."
Our approach.,"We use a variant of Within IR, there is a new approach to document retrieval called the language modeling approach (Ponte & Croft, 98)."
Our approach.,"In this approach, a language model is derived from each document D . Then the probability of generating the query the machine transliteration method proposed by Q according to that language model, P(Q | D) , (Knight and Graehl, 1998)."
Our approach.,More details are is estimated.
Our approach.,The document with the highest given in Section 4.
Our approach.,Each of the two individual methods provides a P(Q | D) is the one that best matches the query.
