ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26,citation_27,citation_28
reference_0,3.082333402120479,3.3296380558785232,3.3267237615684793,3.292577608016367,3.1614748821454897,3.397874208314071,3.4998099011768784,3.18378868489775,3.595948187198786,3.1278244894009597,3.520921818282956,3.070477366753226,3.1789668840360807,3.0369142266477485,3.0038920736624193,2.7168474612632516,2.978499832817319,3.402559931531195,2.7168474612632516,3.117079697955,2.855012679747825,3.5489878964419215,2.6274982653201535,3.439591596334454,3.5495877797012865,3.1736042167817224,3.020063544443951,3.222514020122757,3.1987380666140437
reference_1,3.6886437302970707,3.4369263878408605,3.4249867806939904,3.6135683868099866,3.28285938219082,3.4115587545576034,3.576878056784249,3.474611648137833,3.746128431004922,3.1582888143672,3.520386899755685,3.2622647176116675,3.2787473914671024,3.1916889039785867,3.2288858367973665,3.0039890567181127,3.1067467381044547,3.329605547744352,3.0039890567181127,2.9807937485581184,3.040044286343088,3.5346770612491123,3.1689942602179513,3.481471895084979,3.444210019160324,3.6228482537158535,3.6138040619291854,3.574910958584284,3.845603077702757
reference_2,2.9640138497744797,3.9914466050069635,4.006440870677422,3.868848522509466,3.8539200267343845,4.008967764214116,3.669178003373248,3.836890346154521,4.13493907427087,3.7194380359902453,3.7543439447719753,3.4589142116005944,3.9665821505313037,3.183677872119923,3.8617124865028445,3.357768138270327,3.6403484390783456,3.836887579377677,3.357768138270327,3.758925707130073,3.251466316424909,3.813742264861461,3.1602568439695258,3.943945110141906,4.090088742738929,4.038415191776347,3.924750368376384,3.8399133495261975,4.132675915764549
reference_3,3.256978681392433,3.2213093013414853,3.5987470731332283,3.634506846442825,3.3103049491812486,3.6025380418844715,3.7628544194153886,3.356382999304722,3.8383732409888744,3.3156679779592624,3.6719113227200633,3.0299914338729086,3.5086511271512677,2.977128417315714,3.347667299015638,2.7980545236575094,3.185216351495525,3.259890897437844,2.7980545236575094,3.242240253254221,2.8948901266086944,3.695646222449971,2.8904923707301267,3.2306560513216254,3.657633945128406,3.693418567272192,3.502707329827114,3.617888880242728,3.759821392050651
reference_4,3.5402101929007848,3.402427853815859,3.37387265350687,3.344120837648982,3.060306836713439,3.476000910777427,3.657093824963662,3.1719599147908775,3.6096339348212236,2.92567638036564,3.2664941762395823,3.0955525943624234,2.9371790399513102,3.5114830983804723,3.3694577609841674,3.1590398798645896,3.1646440441164745,3.3061015732785815,3.1590398798645896,3.567900524869911,3.4666945901600603,3.6610329238881336,3.5377145658927875,3.5167620842602503,3.5729829254316354,3.606381726740646,3.329696555097702,3.3231789638135143,3.70062002278863
reference_5,3.4149133934485416,3.7286605452748405,3.728132971742787,3.7184434653126996,3.5759451759530743,3.584793149402852,3.2203771410111695,3.588997494120916,3.6180028704849008,3.7534930024997673,2.941001274867443,3.7664736105716923,3.6283730876786042,3.3842405937876516,3.6176970822963175,3.468675065580285,3.791370262204457,3.597680761863485,3.468675065580285,3.817370293763823,3.7444105134948713,3.5841062536719197,3.795603613208475,3.7440601872176735,3.53664147244204,3.9252161941413886,3.4633956351917066,3.646923076783389,4.036682018779759
reference_6,3.2551716039916676,2.9867203810167244,2.974497219170216,2.9314784787536876,2.992491295860857,3.2203809588711816,3.3500897224350665,2.8480561870587673,2.9824303922553974,2.6991687853152366,3.128094506068591,2.813706949553332,2.756614574844058,3.4311487707038677,3.1397207960588593,2.602431539926896,3.3131307434896438,3.0545287951469793,2.602431539926896,3.273771574872885,3.192048860260896,3.439315525849411,3.2583922955040863,3.245901359505142,3.28055340947797,3.2617269307795063,3.0286252698884484,2.9701435444252455,3.4100415401728728
reference_7,2.9687343017008136,3.8660758108689826,3.8717489765758897,3.849298906706381,3.6163419762033038,3.9069970878856664,3.569106656487464,3.6985033114023214,4.0297076511595735,3.9133947010616406,3.2774772102435406,3.8999905143064506,3.3794156269494415,3.4545163088203115,3.6843581808980477,3.6293784754152063,3.5124949944841863,3.6230053231170887,3.6293784754152063,3.927780123468168,3.81419119895773,3.6125367327953484,3.7571573594493866,3.82668670516204,3.9762091358981766,3.977064526887894,3.832118421374035,3.822387405846954,4.0210895164626015
reference_8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_9,4.066911555716702,3.872027223574938,3.902660817437843,3.85995509919405,3.6038932082625124,4.025757774204135,4.022781759832431,3.659026581918716,3.921495342459869,3.9433983349281916,3.9812762260098777,3.947478950612545,3.875572292446136,3.827366128392897,4.034767222957953,3.7212759646400215,4.025621709431827,4.026939725154942,3.7212759646400215,4.013199853716733,3.9087087072997093,3.991019676542412,3.9031654114832874,3.683237220092074,4.038612123116325,4.085773400085307,3.911725035856068,3.8852679831308126,4.100008031307316
reference_10,3.875493372280287,3.759195554600841,3.7579491415125634,3.7501270637583732,3.553208232468284,3.6913477382256983,3.863298189713621,3.498900405025482,3.8778636120001555,3.817277243097474,3.4674858314166412,3.9074692799800634,3.2007955458275674,3.9067219640496322,3.520951688766871,3.5089711763495206,3.402707600401759,3.631575348146673,3.5089711763495206,3.840861129694034,3.796007062008381,3.774671397200343,3.846017982734918,3.763248991255415,3.8547486019463255,3.9454710950865746,3.784373393886447,3.7128031706160303,4.049421432056988
