paper_title,"Better Arabic Parsing: Baselines, Evaluations, and Analysis"
abstract,"In this paper, we offer broad insight into the underperformance of Arabic constituency parsing by analyzing the interplay of linguistic phenomena, annotation choices, and model design."
abstract,"First, we identify sources of syntactic ambiguity understudied in the existing parsing literature."
abstract,"Second, we show that although the Penn Arabic Treebank is similar to other tree- banks in gross statistical terms, annotation consistency remains problematic."
abstract,"Third, we develop a human interpretable grammar that is competitive with a latent variable PCFG."
abstract,"Fourth, we show how to build better models for three different parsers."
abstract,"Finally, we show that in application settings, the absence of gold segmentation lowers parsing performance by 2–5% F1."
Introduction,"It is well-known that constituency parsing models designed for English often do not generalize easily to other languages and treebanks.1 Explanations for this phenomenon have included the relative informativeness of lexicalization (Dubey and Keller, 2003; Arun and Keller, 2005), insensitivity to morphology (Cowan and Collins, 2005; Tsarfaty and Sima’an, 2008), and the effect of variable word order (Collins et al., 1999)."
Introduction,Certainly these linguistic factors increase the difficulty of syntactic disambiguation.
Introduction,"Less frequently studied is the interplay among language, annotation choices, and parsing model design (Levy and Manning, 2003; Ku¨ bler, 2005)."
Introduction,"1 The apparent difficulty of adapting constituency models to non-configurational languages has been one motivation for dependency representations (Hajicˇ and Zema´nek, 2004; Habash and Roth, 2009)."
Introduction,"To investigate the influence of these factors, we analyze Modern Standard Arabic (henceforth MSA, or simply “Arabic”) because of the unusual opportunity it presents for comparison to English parsing results."
Introduction,"The Penn Arabic Treebank (ATB) syntactic guidelines (Maamouri et al., 2004) were purposefully borrowed without major modification from English (Marcus et al., 1993)."
Introduction,"Further, Maamouri and Bies (2004) argued that the English guidelines generalize well to other languages."
Introduction,But Arabic contains a variety of linguistic phenomena unseen in English.
Introduction,"Crucially, the conventional orthographic form of MSA text is unvocalized, a property that results in a deficient graphical representation."
Introduction,"For humans, this characteristic can impede the acquisition of literacy."
Introduction,How do additional ambiguities caused by devocalization affect statistical learning?
Introduction,How should the absence of vowels and syntactic markers influence annotation choices and grammar development?
Introduction,"Motivated by these questions, we significantly raise baselines for three existing parsing models through better grammar engineering."
Introduction,Our analysis begins with a description of syntactic ambiguity in unvocalized MSA text (§2).
Introduction,"Next we show that the ATB is similar to other tree- banks in gross statistical terms, but that annotation consistency remains low relative to English (§3)."
Introduction,We then use linguistic and annotation insights to develop a manually annotated grammar for Arabic (§4).
Introduction,"To facilitate comparison with previous work, we exhaustively evaluate this grammar and two other parsing models when gold segmentation is assumed (§5)."
Introduction,"Finally, we provide a realistic eval uation in which segmentation is performed both in a pipeline and jointly with parsing (§6)."
Introduction,We quantify error categories in both evaluation settings.
Introduction,"To our knowledge, ours is the first analysis of this kind for Arabic parsing."
Syntactic Ambiguity in Arabic.,Arabic is a morphologically rich language with a root-and-pattern system similar to other Semitic languages.
Syntactic Ambiguity in Arabic.,"The basic word order is VSO, but SVO, VOS, and VO configurations are also possible.2 Nouns and verbs are created by selecting a consonantal root (usually triliteral or quadriliteral), which bears the semantic core, and adding affixes and diacritics."
Syntactic Ambiguity in Arabic.,Particles are uninflected.
Syntactic Ambiguity in Arabic.,"Word Head Of Complement POS 1 '01 inna “Indeed, truly” VP Noun VBP 2 '01 anna “That” SBAR Noun IN 3 01 in “If” SBAR Verb IN 4 01 an “to” SBAR Verb IN Table 1: Diacritized particles and pseudo-verbs that, after orthographic normalization, have the equivalent surface form 0 an."
Syntactic Ambiguity in Arabic.,"The distinctions in the ATB are linguistically justified, but complicate parsing."
Syntactic Ambiguity in Arabic.,Table 8a shows that the best model recovers SBAR at only 71.0% F1.
Syntactic Ambiguity in Arabic.,Diacritics can also be used to specify grammatical relations such as case and gender.
Syntactic Ambiguity in Arabic.,"But diacritics are not present in unvocalized text, which is the standard form of, e.g., news media documents.3 VBD she added VP PUNC S VP VBP NP ..."
Syntactic Ambiguity in Arabic.,VBD she added VP PUNC “ SBAR IN NP 0 NN.
Syntactic Ambiguity in Arabic.,Let us consider an example of ambiguity caused by devocalization.
Syntactic Ambiguity in Arabic.,Table 1 shows four words “ 0 Indeed NN Indeed Saddamwhose unvocalized surface forms 0 an are indistinguishable.
Syntactic Ambiguity in Arabic.,"Whereas Arabic linguistic theory as Saddam (a) Reference (b) Stanford signs (1) and (2) to the class of pseudo verbs 01 +i J>1� inna and her sisters since they can beinflected, the ATB conventions treat (2) as a com plementizer, which means that it must be the head of SBAR."
Syntactic Ambiguity in Arabic.,"Because these two words have identical complements, syntax rules are typically unhelpful for distinguishing between them."
Syntactic Ambiguity in Arabic.,This is especially true in the case of quotations—which are common in the ATB—where (1) will follow a verb like (2) (Figure 1).
Syntactic Ambiguity in Arabic.,"Even with vocalization, there are linguistic categories that are difficult to identify without semantic clues."
