ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26,citation_27,citation_28,citation_29,citation_30,citation_31,citation_32,citation_33,citation_34,citation_35,citation_36
reference_0,3.1262649814902437,3.431334147192569,3.091244428827483,3.569734885062857,3.3900226345770883,3.6096945614857314,3.609908416409467,3.4329151381145406,3.1305091680577046,3.4317890462353744,2.977016787841446,3.4583009801660363,3.4330693534978685,3.845391315309922,3.045116397894315,3.2831876280071413,3.602639435693005,3.9184892838780834,3.4711213940598804,3.408651736269799,3.7119349635191266,3.2215577263782404,3.7806334747020065,3.543749615508184,3.474196292659262,3.5712034476275893,3.474403349728769,3.367553031217728,3.7135225991328467,3.3557462062707826,4.0066198459925975,3.280781626530232,3.520468898754005,3.749022654620137,3.0813201318381713,3.7760657141140657,3.514576026956015
reference_1,3.260960454239678,3.655882317622228,3.3507077083127106,3.6863951172638836,3.702391815322955,3.376917919175201,3.336536701862385,3.4853519652243614,3.674738503344971,3.7568499898329155,3.750333908546836,3.456819322507143,3.8158132628270636,3.7864510026023472,3.309788382958953,3.6013458247862227,3.964938553149103,3.882686429328682,3.792526015048888,3.678350300605768,3.661222007120259,3.844877836655946,3.664554945931179,3.2895620282576465,3.940343053773132,3.5514802509482113,3.4803266823296632,3.703292506526332,3.638518502213337,3.2846561595403814,3.9932422623880086,3.584577523950294,3.602532144307391,3.766473232325028,3.671563883808138,3.699730964360124,3.9001183795268233
reference_2,3.1926344824191246,3.4526402976715276,3.1446595368949457,3.342489811636624,3.080898257464134,3.9002234992672613,3.417461800567528,3.394900080919073,3.4384484736136214,3.078174503320283,3.273651675935424,3.5324172328239483,3.0197948518261173,3.6435530315320603,3.0594831999545007,3.197975405485922,3.262516996248153,3.6688763985827695,3.0328547014144465,3.2270343389773233,3.5703380264990536,2.340583368326041,3.551342486224868,3.650884602807979,3.355777046084423,3.2954671429890157,3.187978209931478,2.8685209691765112,3.2045709535827673,3.377411360318107,3.7815539220693246,3.379000818678575,3.568215313790172,3.5905300182564304,3.1576663384283226,3.4796103852131335,2.6025612796636337
reference_3,3.5413152068084006,3.456777737087154,3.585352400288729,3.5169168522550796,3.5481108890618427,3.875433107530303,3.471857375159642,3.536487462299597,3.689910302426646,3.5769666633889288,3.560844356810095,3.567461268803536,3.2974050756590216,3.5885632335859285,3.553061924229251,3.8445018467553957,3.835713626522265,3.7199586300912886,3.7160156266365516,3.514277800572253,3.4739238047425545,3.756510648724154,3.5811577121078204,3.710837258333714,3.8302952093394693,3.42675074284348,3.2787766025127683,3.5322758271078505,3.482171817004326,3.4217577133736268,3.753132030418855,3.739409659560781,3.641982214594822,3.5239926845727116,3.474688956743177,3.534234327626091,3.7090787690239253
reference_4,3.4436926463125075,2.951512709841862,3.4579730280895307,3.285501396499961,3.333922461694792,3.797455940629485,3.379458989115551,3.2702269592172146,3.4566441439572064,3.3862399903643445,3.326075335695309,3.1338716585146473,3.413271153234424,3.3003013962676433,3.2861615210966297,3.6319359475582047,3.6607291288804444,3.484946444042085,3.5050833820098326,3.3682523871621903,3.288878838928097,3.645081872304081,3.3932428004653583,3.490467892654666,3.815902390655861,3.1140476126579846,2.904420250102293,3.2411724369398893,3.245338847321141,3.2668394250842705,3.561930194176838,3.5179623826200035,3.460729997078637,3.3864790681988057,3.297066804871331,3.139827070355718,3.4148291021504673
reference_5,2.975988627067677,3.4987063098330666,3.247157360554414,3.4632916047277873,3.644333799238801,3.479604817146301,3.5495311803735503,3.227208866419649,3.157999570430717,3.6153682486252317,3.63531862134505,3.294083446773694,3.6953545745168683,3.6340282552814487,3.13511288011908,2.926310344685257,3.787501681553201,3.723682205654192,3.692343214857102,3.5901480576897846,3.5969076632731527,3.8021351025951415,3.603648620375097,3.1368145855008365,3.8548712680329325,2.870559813650391,3.3237954436848707,3.6679479184352157,3.6097975362946655,3.1744390945078345,3.8381644335103036,3.494159910422802,3.142695092675423,3.7227798653826714,3.5808339615207463,3.5571420143594894,3.78775561201816
reference_6,3.138310543212008,3.43982815508467,3.372216617629123,3.3222030114271663,3.473328380914702,3.474877341567097,3.4623438980470502,3.173322006859656,3.0937856436443822,3.5897326146054036,3.3731982519401,3.4335986977808486,3.556406563658557,3.6886995442986645,3.3469128246504214,3.575872354684884,3.512724428964474,3.5266830711237964,3.8229975304080486,3.2211804758719977,3.5885701834968327,3.773669024690613,3.6015336456895386,3.5866330013898517,3.7795250190684486,3.359064541286726,3.117555846965693,3.3995768701858227,3.5085036589543264,2.9899121705814804,3.7923307027116544,3.5296209248203696,3.151661134786922,3.5637349355103995,3.1188838591359755,3.59100158408262,3.409289951406157
reference_7,3.4927405654681856,3.4797289755597354,3.5971489504128766,3.490773229982913,3.4775037536957334,3.870108795512638,3.1979950722918367,3.5644742109717176,3.721038799498998,3.5698065314983274,3.5796883109091824,3.6166563370072025,3.621711975088837,3.674592210489001,3.562335724371196,3.6096876768295996,3.8226517450054223,3.6886137545778483,3.754882515564473,3.4894315278796193,3.4793130348669625,3.8259934549746135,3.6424098289327147,3.659435375831543,3.759780051348392,3.396286031998486,3.3221020096225162,3.4856139514436113,3.4753571172148074,3.4499695757747006,3.8510397756616617,3.730220315314885,3.610757159948954,3.451116290552205,3.563231185661546,3.5350022854304606,3.7313111256025877
reference_8,3.1307788457616574,3.079412275516057,3.098060414621416,3.41403378095286,3.4419019790457424,3.2787583457498193,3.424460629970472,3.1957205866695224,3.31902228872444,3.576440145990219,3.0437616198824244,3.188678786152503,3.5667938853008563,3.570655834548667,3.0426906974785406,3.3605036447549574,3.755738708054598,3.6757881855435737,3.060476329485379,3.4234045967654554,3.423470354078966,3.3084506689323185,3.4517645513344193,3.127786477077829,3.74198086420274,3.239922799657356,3.2201546083727464,3.4219488684766675,3.4622794626151707,3.041178112937173,3.715533755161927,3.3773248873983346,3.392613016574386,3.6186635265925897,3.505693245362515,3.4662404600638763,3.726870121921502
reference_9,3.552982376920302,3.142058510667428,3.636295159658105,3.455344667129339,3.5692717806797973,3.9961837781109972,3.5839776423281053,3.568911477234334,3.4481791210640353,3.607513090466774,3.2508138749818363,3.6328981574418444,3.606934117112756,3.6557653291634913,3.589731076410847,3.845746856208461,3.8959417618668146,3.7523944802945537,3.81976601077517,3.5605405460158095,3.448773069432032,3.837901986069395,3.6216955961461044,3.7640875436517796,3.9652595648096343,3.2969381848259656,3.1302483149312965,3.511220284653069,3.611610474203734,3.5477419394028855,3.796303925269688,3.669975581074363,3.675699119361773,3.4734795591107055,3.259261276684795,3.5327618618598695,3.715915429243166
