ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19
reference_0,2.7236629742478886,2.080792067742811,2.652615017003527,2.838610476126068,3.097275657317466,3.4321424450946347,3.190418404097102,3.127361626220732,3.204292098956934,3.6736372078823454,2.891704160052044,3.545184300242789,3.075389497751583,1.8187820572313318,3.0604369298557077,3.412338138522062,3.610520187179054,3.1625283689088457,3.5581453820180484,3.1110625517722696
reference_1,3.0112153873233294,2.932790022128831,2.858538832492027,3.372141439912124,3.5254162521153036,2.9213532213267825,3.2958795537163947,3.355381328910392,3.3147936260777175,3.427666010231489,2.7956728382449563,3.367883880850852,3.013500943674641,2.2251848722629273,3.207407916602469,3.424633404971933,3.53606129922557,2.989970226359776,3.4886795225500125,3.2180601933694293
reference_2,3.17688198845357,2.865215899294162,2.9036118077355897,3.259311042687992,3.3917189918424255,3.3540762197843312,3.5405661536613624,3.3287604142222547,3.323415092083933,3.6854963175219195,3.048178979742126,3.426925357432345,3.282921961528349,2.710469386837395,3.1357190462389357,3.4589283391979686,3.5711387116188824,3.1444378212892583,3.5331605969874182,3.2269093568108635
reference_3,3.2145428455156733,2.659817472081693,2.8496217612393173,3.1561302031162866,3.293767634898231,3.096413075364754,3.487114140044647,3.184569844141649,3.468164170104718,3.5036389403322263,2.9657650259404287,3.3405689028694905,3.0559780730778403,3.1993927421521353,3.1799087270448165,3.3944042652003383,3.510121121243567,3.3783607495830648,3.2804096551527375,2.993915037431275
reference_4,3.7558321891188235,3.6694529891411607,3.4731493578393713,3.6771493220448983,3.4272878947707843,3.461440951177239,3.6837590429162343,3.0900644119275964,3.5274879307821836,3.671674263104176,3.567079246166631,3.601266026696937,3.613571269438988,3.462751945221018,3.4515095106014493,3.512719960798836,3.7092406236465805,3.592074489338926,3.697471146475747,3.4841011996552127
reference_5,3.1375633471466844,3.026300003597373,3.054134260951087,3.4338571131152222,3.308694481247219,3.2148324247175615,3.4550223840441663,3.0064717614154333,3.310862896791101,3.4686449090045963,3.0843225958691693,3.2797784191340216,3.0511861458484577,3.3013246645015735,3.0393607543129,3.3384072312082833,3.4088189395162103,3.173115492455637,3.136772919354199,3.2069323127371088
reference_6,3.384061711394563,3.301872370401382,3.3884226198523972,3.610154612143567,3.47842462832411,3.229384199345396,3.566679739799779,3.305720074028931,3.512953925421579,3.5698276576189643,3.1898410680636333,3.45695686418758,3.538090940416305,3.608353352362896,3.33480562561494,3.5035721053843702,3.5563600721451833,3.474710447099229,3.535281917194054,3.3986416822097167
reference_7,2.782307922594487,3.120039144360135,3.0087511008038383,2.5121710315889247,3.5933909082481357,3.504292496981769,3.7403217349402396,3.4238744838440653,3.689016308140428,3.6026167547852808,3.344017929956545,3.690527739326523,3.299240226678386,3.093977769084585,3.5869889653026568,3.526406727672914,3.6978620154190187,3.6599456304580187,3.4623931855801215,3.021435896084831
reference_8,3.535257400739206,3.0335038277825084,3.285322015119141,3.5751667410953134,3.445060313650188,3.36496897838785,3.606073259076189,3.2475713450236565,3.4802114440295258,3.6097179227330862,3.115392734117611,3.4831632800658343,3.4893140729814833,3.5682157961456715,3.3487888046473344,3.536047976244292,3.5564789943911634,3.436840993667553,3.4993635233028377,3.4032679873700755
reference_9,3.673759017335205,3.5152767751740854,3.403527294665929,3.6277302525549153,3.5360062741303984,3.4144658175195515,3.548175529566214,3.315730149112282,3.5415202995568045,3.6371448590031674,3.514913027743436,3.5714509265874064,3.5255024602848035,3.6117689139506317,3.367241449677334,3.39821319398468,3.6601298493997385,2.8479103294798422,3.6091254163236437,3.568478387961874
