ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11
reference_0,3.609294868197638,3.5937648738968817,3.473604085768978,3.5208112495087853,3.4733663861034985,4.260571945042264,3.376825340718849,2.8368072240777336,2.995181148376269,3.3493605802195465,3.3698497463444115,3.2146281567419006
reference_1,3.3134606960917385,3.3925464239886542,2.7859523622050397,3.0228599685800557,3.2833560264611323,4.171960439398289,3.47539295582988,3.4227965824841324,3.1916684618207998,2.980101105588048,3.0868929293981076,2.8086212305731295
reference_2,3.758109298165628,3.843454552743005,3.6287552648124657,3.701099499537326,3.6172910446962856,4.099170093881879,3.5519540711456794,3.4851683168103187,3.173626840527845,3.5254720807374627,3.4764322083101056,3.371020097471246
reference_3,3.4525392461117463,3.6081595269299913,3.4047180912399067,3.4898913097620965,3.3860200340364224,4.099912182830572,3.369579849573797,3.3428803562504394,3.023972196232096,3.2990885913001846,3.2906574292198227,3.072895639956236
reference_4,3.698795621031347,3.8055937638389152,3.6150526588648604,3.6734859762604715,3.5479122029578574,4.308017273973226,3.572861307505188,3.460659256678915,3.236855752878976,3.514136609970175,3.4941854085235735,3.338987979191065
reference_5,3.371379920088959,3.5628863976333824,3.3772467686803957,3.4693514157005314,3.3988278661598508,4.066509593792438,3.042177617464738,3.3257829927030538,3.02495135969178,3.1175448300591757,3.273789731781993,3.0139013330042843
reference_6,3.554741565894848,3.522365360360096,3.5172974305555686,3.6223181230888395,3.499841416569053,4.26384670054229,3.3985297042474722,3.3914086179694403,3.1569032024220407,3.415397889072188,3.4237085593810503,3.135062558467728
reference_7,4.415461582526201,4.492246866291827,4.319674838516931,4.367357179278136,4.289129266050508,4.830531474333286,4.284866451788845,4.275073399760126,4.221150132001182,4.226003379908308,4.188597355231873,4.024674051177978
reference_8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_10,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_12,3.5823218501255307,3.409443820538714,3.4661196657903206,3.5883118892432218,3.5574381394393084,4.12237925240221,3.608302753953839,3.391946067815738,3.3617795693520383,3.4131804794722167,3.3661478788549313,3.2634210488448856
reference_13,3.390387998138175,3.1040180252268272,2.86204683397222,3.404158465377152,3.0417768841193134,4.0670361947527525,3.0083642296826443,2.973906155401719,3.0900459707075916,3.20354353306999,3.1385051920607627,3.0463982942727803
reference_14,3.8229784476919546,3.8294855333085294,3.5066540551827226,3.719545923516226,3.552509884839422,4.133763711410523,3.544752510069371,3.550658000098154,3.439908733454145,3.3421239886645226,3.354147765547134,3.305723343947649
reference_15,3.438839975155266,3.700969110722158,3.41695953511817,3.4641454033241743,3.4040179989971695,4.204259118531705,3.5130591861366836,3.166389683794248,3.1980077163293745,3.2326610065812584,3.3094599047109208,3.201038592370749
reference_16,3.1204832316231315,3.099475154309417,3.279884754693653,3.346220501922991,3.300502927808864,3.956025701873115,3.3018677824463682,3.2711440570892636,3.0518676940502765,3.2116066950777986,3.1835522402654184,3.072724691909217
reference_17,4.106743718119856,4.2296125297322185,3.8645534463838147,3.982961549782515,3.966855887004948,4.178659983011484,4.098551394624784,3.998167505747193,3.9269132719692985,3.8632295270036847,3.757170840403347,3.691789623102844
reference_18,4.07361606767391,4.131363701512136,3.9269706955566868,3.923555026713467,3.943682818997454,4.570074562622071,3.9559782745655174,3.8042491925366835,3.802482729859007,3.8472646748256176,3.8277861196774343,3.7243712410455942
reference_19,3.6000532301921733,3.748441431434671,3.5603242887805004,3.629715335389659,3.5195977193418626,4.265014885180526,3.4959387965583857,3.2576780832764607,3.082959831348778,3.3638236830984733,3.471688261180791,3.310592841867508
reference_20,3.933268063658035,4.088338470052193,3.723237975298125,3.7962618538367274,3.8302195778160333,4.476319339685679,3.8843134903124956,3.774094981969505,3.756375388014394,3.709928970941924,3.6780400349108096,3.6027434619026186
reference_21,3.48840166461469,3.4972498703084405,3.389158521985817,3.5532567842883114,3.4287772850399794,4.05950847678566,3.2569878152291523,3.2755697406121134,3.159675483368369,3.3656441445380185,3.3039683846511574,3.1315849768611788
reference_22,3.9552179012640494,3.4318220358788567,3.7190022169816674,3.881009797234171,3.7637763457013516,4.401567638521183,2.9698980953534457,3.6965685249871307,3.4997249305713947,3.735327644001782,3.7387902232675967,3.570731535181436
reference_23,3.344773323696688,3.463261572308693,3.1701996747542913,3.2162959646578795,3.1547001252234304,3.7535335328092576,3.190346018643791,3.1055995911773606,3.0397822467680773,3.068040735796979,3.033238282799901,2.7506257720846237
reference_24,3.960382028808093,4.246814797139636,4.079996309152877,4.137514742971421,4.061442937176583,4.624520789010143,3.908728870590389,4.004840101407149,3.8503189456707108,4.03919987208128,4.024425948205237,3.881422010627532
reference_25,3.6452579644090495,3.7863354590362825,3.4886959117958565,3.2190475381689074,3.1930305376749946,4.342690417980242,3.5557999999053287,3.504567903905329,3.4008066275103808,3.497001688753059,3.477646214095488,3.27754321398412
reference_26,3.9445035594910243,3.9791383059174787,3.8692389602755757,3.951275964913559,3.808475506852523,4.381651461302638,3.673323725445594,3.859498554641205,3.662292913540358,3.8250610273050403,3.768993157814981,3.6492533423892857
reference_27,3.6792236325309315,3.7653689498051666,3.6176078289974587,3.7219924572943177,3.6311226601962523,4.376309503811438,3.447561422359816,3.4742616834987476,3.0978011100815492,3.4769873753249034,3.531871547231572,3.386062874906888
reference_28,4.048156233250571,4.0874523078650284,3.9360785597781964,3.9449477121933465,3.9027717284759222,4.547769046337128,3.949154576753443,3.8538811661182573,3.731628622503257,3.8684775963826796,3.7663984854771244,3.667531774169624
reference_29,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_30,3.7117407642591975,3.251536862322936,2.931124719100439,3.677283461464286,3.215844088406488,4.237864263580322,3.0654574214616988,3.2819846590193933,3.3759465735398075,3.5709813682495595,3.51757300308567,3.3793422477227453
reference_31,4.122757763357524,4.1304088550396685,3.99758137195233,4.059905559722768,4.026388867166391,4.684754737989369,3.78871324374652,3.8998004552853227,3.787926781612803,3.8291732908373644,3.8608327082382226,3.7263034135412814
reference_32,3.6449885051853173,3.683169029313557,3.574073896461102,3.697595772098653,3.5831898796672963,4.284554756444846,3.363281533209652,3.541129567969425,3.288037947413535,3.556558890310008,3.535045034257011,3.34925293671904
reference_33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_34,3.4140258206560845,3.3579628852373453,3.1268335578242192,3.235567919291592,3.1903599007444527,3.967886834540844,3.149619428267025,3.0293954435851673,2.9990872444223236,2.988717047946907,3.0139564545028676,2.8664656462096274
reference_35,3.839499780029801,3.822411671071093,3.7214469084580046,3.8151474635862708,3.710883591387321,4.413882751979168,3.57291794336004,3.6683979745268496,3.3004376317074167,3.703313455491191,3.644831904837774,3.5313738888348856
reference_36,3.463626645207459,3.543071670472393,3.417908530008833,3.5098346633502318,3.3691773608879547,4.118625630848764,3.27333526107019,3.3031681283894936,2.770818828013413,3.357048007295509,3.2974962966560653,3.170495868383287
reference_37,3.725981173817552,3.722593743985787,3.6057800587211513,3.72788232983017,3.634535425557682,4.218820263540984,3.475433216618058,3.5464884398523178,3.324358058275401,3.4982450508489524,3.515646961431936,3.3533171083150504
reference_38,3.628373583099493,3.6291331794242536,3.415611302987471,3.5741640561701478,3.4777636772617817,4.193264557830784,3.267657402397053,3.451698597329037,3.20019716440842,3.3484538659225858,3.214470796264152,3.179925009754597
reference_39,3.260343806873777,3.471771451573779,3.2795651641297376,3.3665589751730955,3.260791679663021,4.179020673017475,3.288645811628227,3.3205372666264084,3.0230745306810425,3.1427366770423353,3.132288574031759,2.9566825212701273
reference_40,3.674086855427814,3.8020214077029775,3.4103576856825724,3.5388149253301626,3.519437016464275,4.192615401561022,3.5692749268469646,3.500872695968031,3.359309539544558,3.395081202225598,3.387258585542457,3.270435983174801
reference_41,3.957165812293214,3.9757206627738944,3.897727306435673,3.9317869713306433,3.916791611008929,4.584888363224507,3.697025940057491,3.7955504843008834,3.6234958715553938,3.7937548261405,3.741031786607185,3.6479512812522055
reference_42,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_43,4.132775267984616,4.078928180335654,3.9655345120151084,4.089377535968542,4.031706684062029,4.6272575760362145,3.772240318717283,3.960462712299392,3.7996794414147494,3.910833438087682,3.8853101471969156,3.788077332454324
reference_44,4.307021091385791,4.386707525518157,4.271880727419124,4.320404805131341,4.265236252378184,4.747647107036353,4.107873001060899,4.242294545484196,3.994102969929757,4.181725152725276,4.125269471871485,4.028019949313164
reference_45,3.645120944797542,3.6506122675837287,3.468029903078469,3.5894167370309833,3.4948885125852778,4.234708077687979,3.24960100169084,3.4169387049960642,3.2669197740907943,3.4745173176447812,3.450462106634953,3.269864384167075
reference_46,3.7116717504308796,3.7151180919991837,3.5496399228754068,3.6500676430794243,3.486926944878227,2.214407715722561,3.504333959346917,3.5661483655254216,3.503930717124839,3.4808945958545214,3.398947048699576,3.223330258044928
