ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26
reference_0,3.6395856015467927,3.805402750501128,3.415396585931258,4.540834993333416,3.221895505655494,3.450171888699675,3.4442424814359858,3.1409517055338942,inf,4.008068406929095,3.441792154142915,3.102712743285233,3.9040301370341117,3.8303742004205414,3.716167086771907,3.8970336795257654,4.07055456621352,3.1504740069157267,3.6246493220975244,2.9076737969805917,3.636601685348687,inf,3.6069170796237326,3.7178726546686507,2.7896771698718457,3.6952454924637714,3.9488462066910346
reference_1,3.5470818954408725,3.532494565369732,3.432521144344785,4.621568801316619,3.103805747057438,3.400639512898028,3.310963651095377,3.5496836740660926,inf,4.030976890288251,3.4382736389130955,3.4185557663642614,3.931462526099682,3.6703616636080745,3.7922738444959174,3.8619854078642786,4.032280079295683,3.131590721106607,3.6331959261144733,2.948870493703127,3.6350134193927053,inf,3.6160027127042413,3.209557204726619,3.4248228625585178,3.4371191600774957,4.0658128977745776
reference_2,3.378502512337131,3.657534840976185,3.269698225002487,4.483496122268636,2.921977644527935,3.4342275105285824,3.0616762077027637,3.3320072580974616,inf,3.939804062950155,3.286882375531712,3.4336908889327704,3.7898159105608844,3.7307381195503813,3.684718080153627,3.7725995672186805,3.986001540246858,3.2879075785684497,3.3049506218296836,2.721998359115906,3.125915748473469,inf,3.1548283296578674,3.841006821617036,3.398108791468698,3.6543253518176866,3.8757289227716147
reference_3,3.654413213436826,3.8111458383763597,3.3511045684920435,4.56485657739556,3.26747695102986,2.9119580515457986,3.4023958229473297,3.4825262436416606,inf,4.082277169827868,3.459589519997218,3.4328455706461667,3.6181355427726247,3.552810173541451,3.7513551739641366,3.6275899728199676,4.09561893735025,3.440319850615163,3.562462110345344,2.977440084007783,3.5327393120443156,inf,3.5657353304202477,3.5593235482091035,3.089116909553046,3.4560294173148636,3.9987000086518725
reference_4,3.486215615845235,3.645294733387843,3.4218820787346664,4.53006163095112,3.139112004764271,3.4708847473833093,3.0390001682066634,3.41894769604081,inf,3.973524760222265,3.4206949220663794,3.488495919479534,3.813499340734101,3.782417874062043,3.694713299397639,3.81512485408728,4.033777541331043,3.3505567917127888,3.3626345349517623,2.9102961524626734,3.232126573202134,inf,3.251970776019288,3.8473196859904557,3.4950215829881977,3.7186474156367524,3.9711214193740854
reference_5,3.625720695662143,3.774230610531501,3.472472208534198,4.6436504030829955,3.2123888585735827,3.316630816054017,2.8518816693146802,3.5452714824115867,inf,4.1532872490064,3.5215764821230287,3.4792179440732696,3.9151512859479607,3.7769870317433965,3.7782296974992855,3.870200136559672,4.147268558491229,3.4535201231268053,3.4109438831139767,2.9897986492573425,3.3847519560603763,inf,3.3402130335144338,3.6425165351914472,3.5188548725104702,3.4725809344909915,4.0777606648751075
reference_6,3.0053118121293187,3.6182762925414766,3.358835776372348,4.482069476617516,2.8981876325876024,3.5136470357755263,3.1529026848592174,3.3848300184121065,inf,3.9281906280305483,3.3146048450802756,3.3860004724259056,3.8185722806353963,3.6808474840528453,3.6890855967711964,3.5973523795737745,3.9340205625422717,3.260834614239098,3.4702039091639216,2.748356594975511,3.4789379281443624,inf,3.5124018972007067,3.7941327791872093,3.435645610614896,3.6282592985358693,3.888582188472426
reference_7,3.4690793357880305,3.6681425520230793,3.354948743268945,4.510779102842697,3.0508440719640517,3.361924505604235,3.2218584162224224,3.238946538664076,inf,3.915551983366705,3.362174163590756,3.230195093822166,3.8030874197410665,3.6565985539069867,3.6674764933268302,3.656538872103161,3.9676090951260394,3.0780881878262085,3.4867955417101095,2.7776494712332704,3.5164377835751335,inf,3.5137250239396898,3.6888386058159552,2.9506283754693636,3.5784134387477864,3.89020028321758
reference_8,3.6400285137168846,3.6955348029241395,3.41190727868526,4.459231799384885,3.2780329028025275,3.423863600567957,3.4138705488263934,3.194912246784444,inf,3.94078705251872,3.471825167485641,2.900306588133637,3.8382955857143934,3.5523915614024086,3.662020872742991,3.8329336613204723,3.9697294351216708,3.006753891338998,3.5731030138919753,2.9186127506112096,3.5026760631557714,inf,3.2466620323690965,3.839773677087315,2.8414626813815866,3.5723697354225106,3.8924492051357795
reference_9,3.557920931773564,3.406211127214149,3.3165783423864648,4.435456779881614,2.944567726850762,3.4148022936927878,3.2591711233291107,3.2393337009749565,inf,3.956602847798262,3.382186472643578,3.401457133153482,3.7627627454992374,3.712681535316572,3.346832185630918,3.6935152345782085,3.9558776994857565,3.3310224913639135,3.388264101925919,2.9142234401937945,3.504369331357806,inf,3.6320227175604503,3.71943483525833,3.3069790248262816,3.3615356529527647,3.880412227610409
reference_10,3.2961977860619056,3.6318170484639665,3.2993437321218857,4.436243509331703,2.8185694450505734,3.4254473255327937,3.0285992875334196,3.3398235084595935,inf,3.8581442507551693,3.2270447331640426,3.3242607091462295,3.783720796251297,3.6964437445438385,3.6824838672973508,3.725776435730077,3.899043874032607,3.2390374515616576,3.4657917644385066,2.746785233209515,3.4000069330108165,inf,3.4025743846649648,3.3411895442253843,3.3483519738164054,3.6696945016997717,3.860382154855728
reference_11,3.6858251582856227,3.8811478947619755,3.5226403104640434,4.696973300323438,3.3231300712927645,2.9272835780000164,3.2527601623588875,3.594729818104786,inf,4.197244231276844,3.5283998753485446,3.5237687393289248,4.0120629268474275,3.2480869368477663,3.89157752916711,3.694464597756836,4.2050351786237545,3.2542406157436203,3.6823224731246045,3.076064034463679,3.694737196039144,inf,3.3425963902106792,3.412614524787079,3.5330178684352043,3.165677196039334,4.146622422894572
reference_12,3.8850728048554557,2.290696363643261,3.643998473785403,3.481651169221033,3.478500918239799,3.3601877489067333,3.3490343715399877,3.2639828646138813,inf,3.0425827544230084,3.6689022806581484,3.262873752153979,2.2354268742691508,2.7904723625644534,2.66135553369716,2.1533618719764913,3.0590178204777634,2.840175924998748,3.4253447924082607,3.2285115425689757,2.9895538167011315,inf,3.9069318104250796,2.795875048592772,3.3369035156831823,3.2762302762079654,3.0189491185201827
reference_13,3.638498312861504,3.808329150903716,3.4676880838913786,4.562033296254516,3.313557510373521,3.2236458604350684,3.4847549447644792,3.4625692280992784,inf,4.069700354803861,3.3581985731577255,3.4076825236108617,3.8931583039443254,3.8542345786514565,3.641011016150657,3.8524678899648523,4.104224317741727,3.4385748378710974,3.6636164324809184,2.943578899167061,3.653076905723333,inf,3.6133637006177906,3.798823623827036,3.1170165038711994,3.6318586107702884,3.986740748850703
reference_14,3.729728990793023,3.8387197554086008,3.4380408261225734,4.552858169538882,3.303268377613178,3.5912024755524197,3.513803025220969,3.608762957106555,inf,4.031433104189817,3.417829630003256,3.5610617858581497,3.8814354014989094,3.9240607311858042,3.730451624826,3.919031131134248,4.078183873468866,3.4835172439378805,3.711284222611879,2.9314187653884693,3.6732414848250796,inf,3.694725510662245,3.872244571890679,3.5529879405220153,3.83376543471519,3.9568671342349817
reference_15,3.581273870856272,3.8209484793096014,3.42615398908568,4.568154509553909,3.125332831315756,3.6075482902693747,3.418623967416586,3.4640273007320905,inf,4.092505361550061,3.4317303783255984,3.544373382854921,3.952272446690941,3.873725852656517,3.7680756466514427,3.9085555421440024,4.092778033729743,3.25099395418133,3.6351198086720222,2.8714616811645626,3.561459350900173,inf,3.60378535985291,3.323298771946489,3.492541869413014,3.741432417210255,4.032901736972809
