ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19
reference_0,3.559573726816178,3.876255833886981,3.846309421078563,3.342690335532403,3.3606622525460126,2.996058922240908,3.2551213393576863,3.3655399561430794,3.8635391252087357,inf,3.07505079218973,3.577851508831978,3.7983673542986143,3.6509082734454155,3.345741469430114,3.7648550758814814,2.895047543163554,3.4441895814625183,3.144175690010953,3.4287210163791784
reference_1,2.938802289517105,3.715484385383487,3.640726782308042,3.449593627792549,2.582470670636892,2.7059996704348275,3.1158355974799274,3.219784547183903,3.6515037359790803,inf,3.459037428496679,3.3755255937576294,3.5177947933393843,2.8104792624181685,3.504621148657313,3.46477373627615,3.4974695920299577,3.202418350873721,3.2787488086921694,3.057861533886433
reference_2,3.373930377375412,3.2653048343267725,3.7299362984421878,3.207606158961507,3.088571384613284,1.4932844475796954,3.5348077235273525,3.32606282119426,3.6118999595590413,inf,3.371877268079737,3.4835324629592908,3.5619409877804653,3.0025383097403893,3.5084775616850625,3.544189795249536,3.2320606583799147,3.2309912808336967,3.0784866975259217,2.802971699571285
reference_3,3.3010827411156036,3.555449921741597,3.591348794422546,2.6903538408397116,3.4643496321169676,3.3154382664428956,3.595406767118715,3.2731745725990318,3.4006189484675557,inf,3.3658627549521527,3.376387507612523,3.5514989614689463,3.4053793049075263,3.4131238354515676,3.696831608316271,3.046185728751859,3.493495848484945,3.36463056143202,3.5132977359747586
reference_4,2.7002164351962437,3.565609484653822,3.607068452472027,3.552743772066951,3.458710911919181,3.5160052651402873,3.549381553602728,3.31442370850948,3.705039587702537,inf,3.6464461798340637,3.48654426672349,3.4519876023530873,3.3132612827719674,3.5203405526993197,3.519869786786013,3.558116205213896,3.5417013996968345,3.426065337677114,3.5832134352158382
reference_5,3.467896544246932,3.8477010575869492,3.7857145898543756,3.369598308768669,3.265016656788283,2.956112615005509,3.364070286805659,3.3764922065745395,3.737747974984571,inf,3.107540035060569,3.578094335056841,3.71797017744354,3.5547525944224496,3.4092549398235064,3.72780088816072,3.199802254075552,3.3443487680568147,3.220365240309738,3.427253508210078
reference_6,3.349634923100317,3.670677171025053,3.577779566112473,2.444121665151266,3.3772248111873817,3.046090336215486,3.4999142608480347,3.345841160839388,3.6235158679181123,inf,3.1590150962580634,3.4270082247351725,3.4958487706890855,3.44270915378486,3.433773600937737,3.674010807003707,2.8278840652993655,3.18774851868537,2.8167069980748862,3.2955851909999963
reference_7,3.0295038557400935,3.5596981203247733,3.6083672259686272,3.4974811202184912,3.490994022936628,3.4148985828335494,3.4814574755987686,3.30936360119354,3.610546325972101,inf,3.4933927244075935,3.4969677856055927,3.5039893989337756,3.2919927763415378,3.3445224224163357,3.5632215862421917,3.416889120691908,3.4624251042959817,2.998906885645113,3.277491520213805
reference_8,3.287519112018892,3.4103474439260837,3.6298278612773887,2.992377302757752,3.17275572033672,2.6136693355737757,3.53572707070949,3.183659102174783,3.5808267699244887,inf,2.5526428674226818,3.312588756205719,3.5606641910833576,3.352635275699688,3.229032352152762,3.523820496084966,2.954258994040586,3.0843321499834886,2.9791765134950943,3.0455387324692054
reference_9,3.2753450486862654,3.684573056007385,3.4151687622070317,3.4816729098260875,3.6002788030481336,3.4483273704368926,3.601952105689049,3.084263753258133,3.6095130752581355,inf,3.524688798366804,3.342111874536133,3.5596453467118128,3.372442332098345,3.490427119659374,3.503853327606201,3.5260278382442105,3.4762473813627066,3.2740842768000604,3.568858779008866
