ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6
reference_0,3.439231236058572,3.7558646540881546,3.647584280969002,3.109421502088526,3.790188199738265,3.6137804614771056,3.8897925752028275
reference_1,3.2761941796087855,3.3538385148445125,3.4862183686927555,3.5480033047993493,3.4561069879968773,3.2390395797677045,3.6465656444356416
reference_2,3.678251761729462,3.6260389217643745,3.7149736121720465,3.777992012705186,3.637146552068228,3.411305482983231,3.831546950614956
reference_3,3.2921501887567444,3.49101316546435,3.5788171727856084,3.551279328879296,3.5358036446756205,3.3237102338866067,3.6986685883261865
reference_4,3.3735575776813147,3.3506845676064905,3.5237803590086756,3.2175538447663383,3.3740330441511297,3.180314346085405,3.5829423800332645
reference_5,3.1742331540551745,3.6829066506312915,3.6631015159873797,2.7297996692503146,3.420803456269395,3.1679742826800212,3.47732941826284
reference_6,3.554925211651302,3.4469049353533037,3.524153606589859,3.6458070951422243,3.5458505933560946,3.2322461294679643,3.693829910348808
reference_7,3.4675998780559185,3.4528795221901354,3.5789879765252817,3.160340689175431,3.4970749239544974,3.079029631761653,3.6651585697023195
reference_8,3.5348396426922073,3.508292218995289,3.550289947862926,3.601772884204308,3.498704712444844,3.266941150812342,3.717188729001632
reference_9,3.9547888506261732,3.427848251739979,4.036371718957763,3.874237786344595,3.5888776023878837,3.6237959569768905,4.0148405880864955
reference_10,3.489126692229005,3.3965893507713814,3.5609046701354763,3.5563651808935353,3.414943809372669,3.1736818719389164,3.5995111851577173
reference_11,3.20933877617117,3.3137700889261903,3.36930427386289,3.1606119002625057,3.367034940306039,3.108781386272024,3.572948186364673
reference_12,3.203400279454271,3.0524785729776314,3.343100047476108,3.133407445147857,2.9983121095250844,3.068040474104715,3.4554374796649587
reference_13,3.55756383106448,3.296751892591165,3.373838063718925,3.6102934165353524,3.4372795667477014,3.247521044658398,3.6038965004681005
reference_14,3.232078882075208,3.5709986886445835,3.4122088212571775,3.3273794271510164,3.5734228984235767,3.4658770908453156,3.7479025005489928
reference_15,3.524020913214575,3.3899136100207223,3.53196037394514,3.635321260143856,3.4853164872579594,3.1840418566513016,3.738500661858516
reference_16,3.5013760905111657,3.3707158953952785,3.528360859165681,3.5191381692356156,3.4672813178337756,3.2580631010211714,3.5989868972143926
reference_17,3.1918247897714465,3.294650812392617,3.386306290534979,3.3590069638830937,3.3574981580359555,3.077223101256609,3.503625262865714
reference_18,3.647277303749377,3.367058423039326,3.6875339302319543,3.611312363724502,3.603747802384056,3.392299361013377,3.709303240355295
reference_19,3.5774997577149485,3.2822933855611693,3.561152896918431,3.6395278292379367,3.543211915445316,3.3110365906160966,3.6301127105462476
reference_20,3.6463002717332342,3.507210892199469,3.708206625164189,3.7492170035630235,3.6112886829869795,3.2804881791759435,3.826869468127223
reference_21,4.236252790087458,4.077670345254136,4.228915750540577,4.320194275733395,4.1539347040848735,3.976121219565928,4.279137846909535
reference_22,3.147146067331749,3.485717430120037,3.5772792521798644,3.6231936057176353,3.251600089480411,3.1617986416378434,3.660244155448405
reference_23,3.653264267028153,3.5698223151758195,3.5947825181764714,3.752715618272286,3.5813411063443676,3.356766329028189,3.7624562443257803
reference_24,3.4784671276251626,3.3258632435448825,3.4386465851403325,3.3675828413649485,3.421324772100442,3.1166801046034607,3.5482668133304545
reference_25,3.3501322526472057,3.308496341965675,3.500828665426136,3.458467074275216,3.341836145311899,3.1191818487455256,3.571258209946687
reference_26,3.40441168461532,3.2919377638028826,3.4201563601210525,3.362276527716344,3.380555329309956,3.134781705728145,3.472735964081329
reference_27,3.4130295826663115,3.3699763888821956,3.461487012293054,3.450227865384114,3.371529407822739,3.1938923534420605,3.536233704959998
reference_28,3.4208789521753316,3.278368046978617,3.434474928829115,3.3671265515196787,3.3528266761010417,3.118907778354645,3.6018464234837984
reference_29,3.6306708703490846,3.5966605897117736,3.6957992866301894,3.691749455238859,3.673416912465811,3.263491735754013,3.7652756391869424
reference_30,3.831284719923941,3.7888207526887063,3.943358078752868,3.8676366077299202,3.8474871202066105,3.5567182563586406,3.549979705089287
reference_31,3.8543679166306557,3.731108746724368,3.934945888968637,3.8350354453373425,3.7620651379680434,3.610087388849544,3.6748206847267695
reference_32,3.454887433282051,3.350370796427483,3.337795266918828,3.4148658661693396,3.3854783173384324,3.138037436450571,3.5063952655470856
reference_33,3.3871077910377347,3.269572999563036,3.423101939335303,3.4148426952388107,3.344132679089072,3.196065025067794,3.4408364002011083
reference_34,3.6602308947793647,3.5015555895123005,3.649495476183293,3.702170960737754,3.5797991803807485,3.3565538396945,3.7685321266124947
reference_35,3.3445553695094308,3.120050253470421,3.3588875786366295,3.376409603295284,3.2567226382085006,2.960055205098361,3.446496093070169
reference_36,3.2728628749290585,3.106433620989418,3.268905080681778,3.306110602611218,3.2234113347527495,2.8685047859790327,3.386142231456805
reference_37,3.4371950180317876,3.2192777717025285,3.4524706930683315,3.3835961496438647,3.322846592356915,3.09237041084367,3.4935411814577413
reference_38,3.469993238953718,3.255302298863798,3.4715517349975547,3.4430543133084295,3.3989855074685913,3.189633994035411,3.4720501749369466
reference_39,3.5621943113107037,3.390439320451165,3.594456618352679,3.630739978625678,3.4992411239113603,3.1343919611241517,3.643040122440503
reference_40,3.324450253252661,3.1586110083163264,3.356285185905769,3.3820765563911754,3.272719187085935,2.91354156142655,3.4319019559130233
reference_41,3.327870521757199,3.256176638029983,3.349549025456678,3.4472329254751597,3.2988388524566568,3.1542978338718197,3.5020431244235763
reference_42,3.526606475789377,3.406195177536143,3.579046075203679,3.406939572610624,3.459815106383427,3.20157691986321,3.6700788823645634
reference_43,3.637027380776491,3.5602452780989053,3.6785734299797284,3.106581024988528,3.6159629467486947,3.253324911046207,3.745740596624728
reference_44,3.6352938633608822,3.4986261720697507,3.5079039399754204,3.0421705226794793,3.5843837751330043,3.388573076151006,3.7848772215197344
reference_45,3.5738053433956063,3.4715041790205423,3.603346656708517,3.255648508625219,3.5596009450933113,3.3174042953676826,3.7418805885904476
reference_46,3.548148567378981,3.4701253985856284,3.504832706762422,2.921676077875298,3.5023208215570816,3.293100943726396,3.668397543529551
reference_47,3.512641801207361,3.394251106215542,3.3658171346669934,3.5944841383895483,3.5206387343765853,3.2749170111338346,3.603572555540097
reference_48,3.6243988557767524,3.502298521673189,3.534524757944369,3.588652635130936,3.5376159776671234,3.274740346554654,3.6906928950851428
reference_49,3.4616209215210336,3.112756814438105,3.5334349726065333,3.024749099707692,3.384424624729921,3.005992735560894,3.657019722923013
reference_50,3.5515834314542727,3.40902753841685,3.4768349328586634,3.6316114111430595,3.549752309978949,3.2447481747432745,3.65072796056053
reference_51,3.347835805171331,3.2545441646096473,3.418804374951718,3.5254711789754456,3.350323898522702,3.1320370082767006,3.1800605846217795
reference_52,3.4135657385723777,3.3120332461620574,3.513056165400435,3.433992045752217,3.3679814802405477,3.1270130556694498,3.6041823485097066
reference_53,3.430485636830214,3.7437819945066337,3.727988073188208,3.887520228103912,3.76898500873644,3.492689032641649,3.972859428298198
reference_54,3.5634892561359943,3.1770969062409997,3.5646884519793645,3.5052722897160593,3.4729289795183638,3.283980185213558,3.6950913154457425
reference_55,3.662990170357413,3.617457400371197,3.7892437047153322,3.73622411048572,3.582079761029604,3.3005971649903625,3.8994401545983233
reference_56,3.548803208129526,3.2888058221114984,3.592040356467367,3.525106583765433,3.498787570627464,3.2448663545591967,3.6137008977152245
reference_57,3.5435026851084004,3.4673325579569343,3.575375492704498,3.6594208346793278,3.536477478765552,3.259462732576251,3.6861083447071104
reference_58,3.52017135756999,3.331034750658166,3.5477754319802446,3.6729037890539904,3.491927031314206,3.173008363355649,3.6760756080650823
reference_59,3.3659158620068217,3.2982471514932947,3.490310807849309,3.439241976975726,3.3631407653256877,3.0198555033734538,3.609762448823193
reference_60,3.6173771877339664,3.7931441492179396,4.017178417675323,3.864910410865498,3.7640598632270654,3.556039977963805,3.9224764930911244
reference_61,3.2218530369120937,3.3394280800635823,3.5556519109453557,3.4519852218924307,3.3738520947837882,3.127345531685829,3.27054328765472
