ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12
reference_0,4.113067940547153,3.7519497538462763,3.015541477003473,4.2364100777066165,3.361555257055304,3.7275261206961576,3.4742654072350705,3.3342859807327874,3.9911367812619933,3.9964835510674246,3.8181072376994036,3.616287294439007,3.495732602998887
reference_1,4.037318923146314,3.710509368203607,3.7539355646301176,4.099229687780494,3.6311450534551435,3.5754844333078646,3.6676969998446616,3.5537458207883996,3.8981106214712273,3.904569559951487,3.7001793590020977,3.4179549467806916,3.481035474210009
reference_2,4.131045230129157,3.861218655742665,3.37574871856711,4.231045314035569,3.438231130745599,3.6241078334773773,3.236844771833011,2.997810650237008,3.999218167885258,3.9151079476919164,3.8028408305080323,3.4779637288922745,3.4750024698837825
reference_3,4.065364236021162,3.726583799277956,3.704893198016049,4.043535458916424,3.567900488886189,3.5217400777278987,3.707695643094215,3.622729655119064,3.668799016618295,3.9155758244195678,3.4881040775914025,3.2784694100746017,3.516414805832739
reference_4,4.056731758881961,3.8038547335373165,3.677033619756341,4.105497471721634,3.692601370368227,3.6414549853779974,3.3550608670893918,3.4104465510870225,4.012013654682502,3.9356444338183807,3.8042992560470106,3.475501790089085,3.558577090966106
reference_5,4.040104675029786,3.9137278638673783,4.160894747210932,4.1949693559778165,3.568559773249824,3.7054787431669634,3.8357816282811887,3.780596850717272,3.9621249290821674,3.958327846836198,3.787081587314606,3.578797022097732,3.6034783872227427
reference_6,3.6096247049722776,3.3274517920903435,3.53092735735767,3.6581750157830832,3.2649165983498714,3.1490483853463744,3.238034500849741,3.499015433937221,3.4781116545744326,3.38369209050784,3.2581165031530492,3.45421001911978,2.9751248070860483
reference_7,4.035240508636035,3.712893580358326,3.189656314054012,4.079751119090243,3.570672677003707,3.5136798267638385,3.3673014744642735,3.328265912079497,3.8593328898693953,3.7994940884391237,3.6464947112181183,3.352087087184424,3.3403660087917566
reference_8,4.11149992642389,3.762993610712625,3.679979500418258,4.171921402941675,3.709882626877979,3.6978238729290718,3.4525411973240985,3.6337045211194288,3.9209949812723703,3.886544447987266,3.7235519589828296,3.440105598672542,3.504325983174182
reference_9,4.112582435861789,3.7622540647840617,4.001528739185262,4.115304953240585,3.777565333965245,3.727324175012718,3.7539480472471354,3.795675742577107,3.9846905940885833,3.971431316339127,3.8013200074273943,3.556811056624225,3.5037695949349996
reference_10,4.100987539740189,3.7964944680737434,4.01588793896364,4.183542982608331,3.5802270216691396,3.602495650844671,3.7204843483803733,3.621480408566656,3.9949771688640574,3.8841004494405564,3.7882717509692103,3.395551148608488,3.483353933904878
reference_11,3.9625206787709146,3.7143267703145026,3.912684553433102,4.099890345131844,3.5854139678464576,3.5235572155262895,3.606205129490638,3.552640071171195,3.8445600284635137,3.7893372726414705,3.623627944107294,3.352762498107591,3.3069143098430516
reference_12,4.0209562696165415,3.6828859673180583,3.2874380230004316,4.051899013114739,3.5972325389020936,3.5853360280644027,3.538777778438186,3.56097367248252,3.8914225886889544,3.8296456725210994,3.679969579446173,3.336357885144891,3.380011304966641
reference_13,3.9898020900812328,3.6912282715205813,3.7809073418560635,4.0924943149772846,3.332507689710622,3.5100178222498863,3.5652979552204087,3.3329164409277054,3.7891175403484993,3.787281248070754,3.5265886425976536,3.327355873409478,3.3319170010221826
reference_14,3.9171168917837007,3.6536870714434624,3.6020771660481454,4.039872373714061,3.5648285406232882,3.5569762574942194,3.6658152298774245,3.569537919815485,3.7483280347870855,3.7152672449767663,3.55143426006341,3.331498329787258,3.3624116602352148
reference_15,4.553104999212096,4.105224895871722,2.4737888558522503,4.443282928867817,3.776028719675038,4.141875391833399,3.9127153419289025,3.7727036905337465,4.35974248663911,4.25043621028437,4.212404235739886,4.014788165705764,4.017889953010836
reference_16,4.1777521950175505,3.7509572701681853,3.157447914729595,4.156272239251122,3.7836267122676754,3.581634882205327,3.7773223120061163,3.7184414496736893,3.928587285050798,3.876535863403154,3.678451147241592,3.50636037531684,3.5706807780958414
reference_17,3.3549935193915954,2.972965754134369,3.2257843193035125,2.5855763570924344,3.5481717775238915,3.249690156582964,3.6421855336192137,4.224659329636484,2.3803829155429463,2.1712465832109733,2.7165997979682923,3.9424953195970556,2.6668660029464726
