ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10
reference_0,3.3209823698483754,3.5052175048505343,2.6016342247838793,3.1823685937458586,3.2125891484284814,3.439953563610965,3.3866137538644923,3.1853192222599787,3.246691128217148,3.161950559769819,3.341491778549731
reference_1,3.407722350244523,3.3497790931141873,3.563639614685893,3.315852392737389,2.938156367676258,3.629095507071972,3.9296100294778347,3.162792502196264,3.561088631047189,3.701678664916754,3.3666141005181567
reference_2,3.062155495205688,3.260428897885963,3.0165463779731994,3.2270486313490396,3.4774635247033125,2.801121675536728,3.339335237145639,3.1441569825615887,3.16540608860488,2.088103166603184,3.102504560990391
reference_3,2.647304315977798,3.4498656968063557,3.5464040146919604,3.298894549758013,3.2863660731904556,3.541142266523696,3.792342442281918,3.1046855548123604,3.438162013464047,3.6464482069651853,3.3661414644221175
reference_4,3.369701908058727,3.6425794327822647,3.430187833814128,3.528600256081995,3.566983084043272,3.1399519259769444,3.8612652063187562,3.6296530902613235,3.446404767800605,3.631133579047776,3.331871876099132
reference_5,3.3690055342848906,3.604178692423741,3.326237181317857,3.418860304747255,3.6088063135433734,3.00955393676811,3.4714285005947842,3.628660311525538,3.2499913798423576,2.925413918360106,3.3957204394110057
reference_6,3.3011930853306417,3.6566704003743875,3.009421361734828,3.4583408369999047,3.6589007095583526,2.9444580045909876,3.3116911196168597,3.646212183379896,3.3217047571011276,3.0397906172137943,3.3755553098921536
reference_7,3.2928301633842474,3.5368432298536012,2.878365150072098,3.437720400266647,3.522077174563646,3.4163602316002253,3.6870030666229963,3.6463566583423614,2.837347876084864,3.5205334469445706,3.4083557716354376
reference_8,3.322679658550358,3.3243388220460774,3.3923734014359233,3.408391691074848,3.4888335407966373,3.5776627047460674,3.5305344483432766,3.3910731738819124,3.333098322751522,3.587454415446663,3.3554955442112884
reference_9,3.4912541497577103,3.806749625022123,3.6875952971399584,3.6415745373813513,3.70312354361135,3.7372261460856877,3.962204603717533,3.7083914942261793,3.4995576194811475,3.769089557596723,3.392276397582103
reference_10,3.2766861259596833,3.678954484520163,3.384760522446394,3.2378831783906223,3.5060214857032297,3.475601089441776,3.7469840246872903,3.5108735393213037,3.1589232291795013,3.5135626895925522,3.130501245951728
reference_11,3.2561416329102784,3.530659792334634,3.4418529071324007,3.2080890457277125,2.9944221297434597,2.9981623243938795,3.747616367258788,3.0539819080183626,3.417233667630967,3.422259332895255,3.243672496434176
reference_12,3.1119096996157456,3.6500201697064107,3.077760680692189,3.4870076936386605,3.679096182446737,3.0230869946760306,3.4821924586471567,3.5168181909974994,3.3363434540932735,3.199618881460817,3.330423864292671
