paper_title,Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs
abstract,Automatic paraphrase discovery is an important but challenging task.
abstract,"We propose an unsupervised method to discover paraphrases from a large untagged corpus, without requiring any seed phrase or other cue."
abstract,"We focus on phrases which connect two Named Entities (NEs), and proceed in two stages."
abstract,The first stage identifies a keyword in each phrase and joins phrases with the same keyword into sets.
abstract,The second stage links sets which involve the same pairs of individual NEs.
abstract,"A total of 13,976 phrases were grouped."
abstract,"The accuracy of the sets in representing paraphrase ranged from 73% to 99%, depending on the NE categories and set sizes; the accuracy of the links for two evaluated domains was 73% and 86%."
Introduction,One of the difficulties in Natural Language Processing is the fact that there are many ways to express the same thing or event.
Introduction,"If the expression is a word or a short phrase (like “corporation” and “company”), it is called a “synonym”."
Introduction,"There has been a lot of research on such lexical relations, along with the creation of resources such as WordNet."
Introduction,"If the expression is longer or complicated (like “A buys B” and “A’s purchase of B”), it is called “paraphrase”, i.e. a set of phrases which express the same thing or event."
Introduction,"Recently, this topic has been getting more attention, as is evident from the Paraphrase Workshops in 2003 and 2004, driven by the needs of various NLP applications."
Introduction,"For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question."
Introduction,"Also, in Information Extraction (IE), in which the system tries to extract elements of some events (e.g. date and company names of a corporate merger event), several event instances from different news articles have to be aligned even if these are expressed differently."
Introduction,"We realize the importance of paraphrase; however, the major obstacle is the construction of paraphrase knowledge."
Introduction,"For example, we can easily imagine that the number of paraphrases for “A buys B” is enormous and it is not possible to create a comprehensive inventory by hand."
Introduction,"Also, we don’t know how many such paraphrase sets are necessary to cover even some everyday things or events."
Introduction,"Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks."
Introduction,"So, there is a limitation that IE can only be performed for a predefined task, like “corporate mergers” or “management succession”."
Introduction,"In order to create an IE system for a new domain, one has to spend a long time to create the knowledge."
Introduction,"So, it is too costly to make IE technology “open- domain” or “on-demand” like IR or QA."
Introduction,"In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus."
