ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24
reference_0,5.064228545921517,4.063862581121135,3.2328276873851585,2.854335477725267,3.795393865763452,3.5770099893841145,3.440443260057939,3.53810344461577,3.3712265731454765,3.60982306684196,3.448236295348798,3.8670362515754135,3.71143799234438,3.088708215563059,3.468026189124584,inf,3.7033383035989047,3.310514340426726,3.7350883150899152,3.64771664459561,3.6789471259475306,3.57152755031677,3.1221173089444636,inf,3.2450501157991414
reference_1,5.089936554865653,3.9996720878684533,3.5111089021821194,3.4308949178791903,3.92288448361333,3.5013122048802883,3.2016420559655168,3.6463090179683917,2.419983160813572,3.5638061753473416,3.534062850836492,3.8278438197702136,3.35843947352981,3.4392019126040068,3.6209391448168837,inf,3.71281089990144,2.8704783945241075,3.598587675370934,3.5590609767697616,3.622110401771505,3.468058459792048,3.4191511656235263,inf,2.9715778500448717
reference_2,5.049059466065705,3.928792097041786,3.4888361902883753,3.6196120704862476,3.7258064412573213,2.3662913480328323,2.964407265538953,3.5099199990690346,2.61484933488633,3.5197257707008123,3.5085817608273118,3.802519803669407,3.676599299986303,3.4310272934947013,3.4290309256095415,inf,3.4446368108437655,3.0582597535568103,3.507394858584704,3.5344428660933755,3.5340580933377423,3.3295684523256104,3.482312905375421,inf,2.1785091803036933
reference_3,5.186843751369774,4.0931760140870805,3.700442499377249,3.6653327554682495,3.9928123222825165,3.6200205198688504,3.4835322123823884,3.730441686898231,3.468799487474182,3.578602453339696,3.822621299115888,3.983122413377687,3.8950623255621197,3.5365673630061147,3.6998992165522573,inf,3.803762545975089,3.62983606819923,3.864555578067632,3.74714408720094,3.804471906837078,3.571341269023779,3.6196364356708526,inf,3.0982644192185167
reference_4,4.965343192623634,3.7877211037015406,3.499202461154353,3.5218358217985717,3.7500550789227822,3.3104585669335154,3.0022375802432406,3.4751612011103408,3.2324739092124894,3.449804840491205,3.5058398006543507,3.787432636607462,3.774568409559114,3.432784133047319,3.3823862994603875,inf,3.510945275018557,3.1969917471541973,3.522052926478902,3.5131246520905397,3.499392755552111,3.3737671846135346,3.4984293868464524,inf,3.3482964088205747
reference_5,5.1368008229141235,3.986708577091336,3.740818175285059,3.7984523441515567,3.8967550843227805,3.59121002138263,3.5091497976886408,3.715879965533852,3.4130208103104094,3.688358398606718,3.8058273553213318,4.034441819539548,3.961429731211567,3.663951083186209,3.693808112306118,inf,3.758648188924491,3.5266329513578687,3.7781077644502292,3.758799050193825,3.754001790262002,3.4839918473198748,3.6672753118515016,inf,3.222983381328678
reference_6,5.029338983948973,3.9101974188810025,3.347970322334099,3.530040836656225,3.887584943959705,3.4817903641491075,3.3500270011241176,3.659360368815429,3.276995739986095,3.729272219457091,3.55545436271854,3.8218563318936067,3.7157769424240503,3.358442556170253,3.715645998502243,inf,3.743742466400804,3.4046740270704743,3.7127058449463126,3.7458098506303243,3.532603497670066,3.604695519504072,3.4760478852392414,inf,3.1899927958357837
reference_7,5.0029594091164125,3.8390033483591086,3.362655184715925,3.384629138672495,3.659629223842149,3.1204451138412836,3.1430625434801187,3.4383197122811797,3.0898538857392976,3.293499022265816,3.2368391883224934,3.628378106709077,3.6236020978214256,3.352536044368804,3.372393179154492,inf,3.4405482993631487,2.974817619599331,3.4178921188382025,3.3847836268648543,3.4059786772570475,3.293934656447017,3.262723508101845,inf,3.265954100503921
reference_8,4.899155453448487,3.8310367944328307,3.397974768698392,3.4515922947445037,3.767217110859839,3.3196596763391497,3.2168752876828743,3.4590887037738804,3.138587946472634,3.536269322200656,3.5362746153149716,3.7742844838188754,3.7195573230281833,3.302376231744337,3.425322865319252,inf,3.544459149771524,3.302879162422115,3.496378166991271,3.53593719211965,3.4028588726082107,3.223559423702515,3.417049484030128,inf,3.250557633213473
reference_9,4.922723603573805,3.8866270636029974,3.4304051442220818,3.505523300986357,3.7148813873594753,3.2071709400416677,3.291599853040441,2.989476806602884,3.23664558291774,3.3159158063590386,3.4722916456565946,3.699365634519698,3.7233498326059333,3.3709265015655765,2.890378722845452,inf,3.3905378077525112,3.2252909483219834,3.470637629797544,3.2891626491429236,3.5376756613507614,3.3556905768100105,3.39989957207281,inf,3.410386976826674
reference_10,5.0167877234730724,3.907008334085322,3.5010678325675797,3.5358130618953116,3.7696553647581874,3.3610934162516717,3.216170309716654,3.4231939421153785,3.2212417060125427,3.419725921884823,3.502898808478624,3.746914641198048,3.8010561620594494,3.4478535044775014,3.3321573688855177,inf,3.5342533892745855,3.2158580139515425,3.563151421543217,3.5740093241350634,3.5054280715565356,3.380713418683783,3.385346647825146,inf,2.9999512724527353
reference_11,5.0055714258881805,3.8989020450949665,3.139239788583029,3.2049230440342424,3.8004330428881303,3.3023603233170506,3.2431304050210503,3.478005524553895,3.210495580008936,3.6177566714135407,3.5095445808807533,3.863273933913183,3.6569183691251994,3.019819138023019,3.424594808537471,inf,3.5481426445873976,3.1686558922882435,3.531392985040629,3.581114760352719,3.561863325635741,3.417576622025836,3.1095383379172086,inf,3.0738227235961912
reference_12,5.084560490320623,3.887294652418494,2.4464766668336932,3.5763191210827827,3.7907258522894303,3.4283889161447885,3.266649468973662,3.559241095668375,3.133944643909051,3.5319818605538607,3.525037874743064,3.7772941208257085,3.7922278820942403,2.9559030116189717,3.5107163582906487,inf,3.58469323364228,3.0411884660989803,3.565831006998816,3.5114270676635986,3.4914357963428424,3.289579491360064,3.50565376294899,inf,3.4096706802298193
reference_13,5.045318109895791,3.875367347832045,3.2266368983125657,3.595614186376335,3.721153404192696,3.2467512988007576,3.1036824283736646,3.401909325089401,3.0032309651217513,3.4351660763837057,3.384924953722608,3.6935990090579227,3.683404509836601,3.243771024713923,3.302132712077058,inf,3.4629605486820547,2.9557379853399723,3.515184700785073,3.5010152370462384,3.478916279914371,3.2171042505304452,3.433014392288694,inf,3.384578808059119
reference_14,5.099976299264118,3.9714135940855857,3.2809080642486497,3.2762951507315816,3.914157852575033,3.523680505191825,3.340356179847453,3.57978924357919,3.1696172575829817,3.553194469956509,3.6649462468085456,3.851451924828692,3.7970573048909473,3.138828270718403,3.549387648577494,inf,3.593258170331028,3.3215967627302483,3.523767237832448,3.5413653539915204,3.605378389711018,3.5043703974550646,3.082480622074588,inf,3.216481525856223
